Matrix size input by command line: 1024
Repeat multiply defaulted to 30
Alpha =    1.000000
Beta  =    1.000000
Allocating Matrices...
Allocation complete, populating with values...
Performing multiplication...
dgemm-----------start-------------
CPU3  raw=63036 ena=89776104966 run=18446744025054175812 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU3  raw=1043200 ena=89728584489 run=18446744025079086130 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU3  raw=31504 ena=89776108035 run=18446744025053016387 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU3  raw=18809 ena=91077689561 run=91077689561 ratio=0.00 hsw_ep::LONGEST_LAT_CACHE:MISS
CPU3  raw=9615047 ena=91077687730 run=91077687730 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU3  raw=1436415 ena=91077687221 run=91077687221 ratio=0.00 hsw_ep::L2_TRANS
CPU3  raw=4582009 ena=91077686252 run=91077686252 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU3  raw=645194 ena=91077684828 run=91077684828 ratio=0.00 hsw_ep::BR_INST_RETIRED:ALL_BRANCHES
CPU3  raw=185657 ena=91077683056 run=91077683056 ratio=0.00 perf::PERF_COUNT_HW_CACHE_L1D:MISS
CPU3  raw=10257289 ena=91077680528 run=91077680528 ratio=0.00 hsw_ep::UNHALTED_CORE_CYCLES
CPU3  raw=9063084589056 ena=91077678116 run=91077678116 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU3  raw=1830856228864 ena=91077678586 run=91077678586 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU3  raw=10258393 ena=91077679754 run=91077679754 ratio=0.00 cycles
CPU3  raw=4584375 ena=91077676723 run=91077676723 ratio=0.00 instructions
CPU4  raw=1181042 ena=89728589730 run=18446744025080199233 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU4  raw=50577 ena=89776113496 run=18446744025053777558 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU4  raw=1040555 ena=89728593429 run=18446744025079494536 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU4  raw=29377 ena=89776116953 run=18446744025052645891 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU4  raw=1042 ena=91077697329 run=91077697329 ratio=0.00 hsw_ep::LONGEST_LAT_CACHE:MISS
CPU4  raw=3888515 ena=91077695337 run=91077695337 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU4  raw=513226 ena=91077695434 run=91077695434 ratio=0.00 hsw_ep::L2_TRANS
CPU4  raw=1620267 ena=91077693792 run=91077693792 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU4  raw=231027 ena=91077691759 run=91077691759 ratio=0.00 hsw_ep::BR_INST_RETIRED:ALL_BRANCHES
CPU4  raw=19887 ena=91077689631 run=91077689631 ratio=0.00 perf::PERF_COUNT_HW_CACHE_L1D:MISS
CPU4  raw=4087737 ena=91077687288 run=91077687288 ratio=0.00 hsw_ep::UNHALTED_CORE_CYCLES
CPU4  raw=9063084589056 ena=91077685675 run=91077685675 ratio=0.00 rapl::RAPL_ENERGY_PKG
