time	PKG-0	Dram-0	PKG-1	Dram-1	
75.5	82.57	15.02	87.85	14.76	
76.0	87.64	17.71	93.02	16.88	
76.5	76.82	13.37	82.23	13.73	
77.0	79.18	14.24	84.12	13.95	
77.5	85.11	15.71	90.85	15.20	
78.0	78.54	13.25	83.81	13.42	
78.5	74.86	12.43	80.27	12.58	
79.0	74.22	13.53	78.16	12.81	
79.5	71.73	10.45	76.18	10.85	
80.0	80.96	14.28	86.53	14.35	
80.5	73.44	10.36	78.10	10.22	
81.0	81.12	14.89	85.89	14.43	
81.5	84.40	15.56	90.27	15.61	
82.0	64.48	10.62	67.91	10.78	
82.5	73.08	11.83	77.29	11.85	
83.0	76.43	12.40	80.21	12.74	
83.5	77.78	13.40	83.05	13.92	
84.0	75.11	13.42	80.21	14.10	
84.5	79.09	12.82	84.58	13.59	
85.0	70.49	10.59	74.29	11.01	
85.5	70.54	11.04	75.04	11.36	
86.0	72.65	11.81	77.22	12.34	
86.5	42.37	5.86	43.68	5.93	
87.0	74.20	11.88	79.22	12.43	
87.5	75.28	12.68	80.32	13.29	
88.0	82.88	15.73	88.44	16.40	
88.5	86.33	15.86	92.62	16.38	
89.0	81.47	15.26	87.33	15.92	
89.5	82.37	15.41	88.36	15.99	
90.0	86.12	17.01	92.59	17.87	
90.5	85.50	17.00	92.02	17.59	
91.0	78.16	12.74	83.69	13.17	
91.5	89.15	17.71	95.59	18.38	
92.0	80.48	13.96	86.22	14.46	
92.5	84.56	15.94	90.59	16.62	
93.0	87.86	17.62	94.52	18.36	
93.5	70.89	9.39	75.95	10.06	
94.0	80.19	14.80	85.20	15.44	
94.5	80.61	13.71	86.58	14.39	
95.0	76.97	13.91	82.30	14.47	
95.5	85.10	15.66	91.32	16.23	
96.0	79.05	13.65	84.65	14.22	
96.5	81.18	14.46	86.88	15.08	
97.0	73.22	10.60	78.15	11.01	
97.5	79.43	14.24	85.09	14.79	
98.0	79.33	13.52	84.84	13.93	
98.5	78.90	12.77	84.44	13.41	
99.0	83.59	15.64	89.50	16.19	
99.5	69.23	10.95	72.75	11.31	
100.0	75.61	12.54	80.84	13.07	
100.5	82.04	14.84	87.85	15.41	
101.0	81.02	14.43	86.79	14.78	
101.5	69.70	9.46	74.19	9.97	
102.0	79.36	13.54	84.77	14.17	
102.5	73.67	12.02	78.80	12.53	
103.0	81.30	14.99	87.25	15.72	
103.5	79.28	13.33	84.99	14.00	
104.0	79.98	15.10	85.79	15.84	
104.5	81.88	14.63	87.63	15.32	
105.0	87.90	17.56	94.30	18.36	
105.5	79.40	13.38	85.17	14.02	
106.0	84.18	15.65	90.48	16.33	
106.5	80.39	13.53	86.11	14.54	
107.0	83.44	15.99	89.51	16.56	
107.5	67.12	9.92	71.45	10.57	
108.0	76.12	12.25	81.34	12.85	
108.5	81.61	15.13	87.34	15.71	
109.0	80.11	13.87	86.29	14.56	
109.5	69.80	8.53	74.30	9.17	
110.0	77.96	13.02	83.33	13.62	
110.5	89.55	18.35	96.29	19.04	
111.0	85.71	16.24	92.04	16.91	
111.5	90.36	18.58	97.12	19.30	
112.0	76.59	11.74	82.11	12.15	
112.5	82.43	15.51	88.50	16.28	
113.0	85.66	16.84	91.61	17.18	
113.5	84.46	15.55	90.70	16.13	
114.0	85.59	15.94	91.88	16.73	
114.5	73.78	12.62	78.87	13.17	
115.0	88.43	16.82	95.12	17.73	
115.5	84.70	17.53	91.14	18.44	
116.0	86.95	16.46	93.53	17.09	
116.5	86.84	17.09	93.06	17.68	
117.0	82.03	14.94	87.81	15.43	
117.5	89.72	18.30	96.55	18.83	
118.0	87.13	17.27	93.71	18.07	
118.5	89.96	18.24	96.85	18.96	
119.0	85.96	17.74	92.86	18.43	
119.5	76.26	13.15	81.48	13.84	
120.0	90.04	18.15	96.91	19.09	
120.5	81.04	14.00	87.21	14.34	
121.0	87.98	17.93	94.48	18.91	
121.5	87.77	18.16	94.58	18.75	
122.0	89.85	17.81	96.62	18.59	
122.5	86.37	16.73	92.87	17.53	
123.0	84.19	16.40	90.83	17.16	
