=================
CUDA Devices: 1
=================
000vLE, speed=6
CaQ5, speed=16
0CZR5, speed=16
PArB, speed=21
0P9sB, speed=21
blIH, speed=23
0bkJH, speed=23
oLjN, speed=24
0oKkN, speed=24
0000wAT, speed=24
10vBT, speed=24
000DWbZ, speed=24
1DVcZ, speed=24
000Q72f, speed=24
1Q63f, speed=24
000chTl, speed=24
1cgUl, speed=24
000pHur, speed=24
1pGvr, speed=24
0011sLx, speed=24
21rMx, speed=24
001ESn3, speed=24
2ERo3, speed=24
2R2F9, speed=24
001R3E9, speed=24
2dcgF, speed=24
001ddfF, speed=24
2qD7L, speed=24
001qE6L, speed=24
32nYR, speed=24
0022oXR, speed=24
3FNzX, speed=24
002FOyX, speed=24
3RyQd, speed=24
002RzPd, speed=24
3eYrj, speed=24
002eZqj, speed=24
3r9Ip, speed=24
002rAHp, speed=24
43jjv, speed=24
0033kiv, speed=24
4GKB1, speed=24
003GLA1, speed=24
4Suc7, speed=24
003Svb7, speed=24
4fV3D, speed=24
003fW2D, speed=24
4s5UJ, speed=25
003s6TJ, speed=25
54fvP, speed=25
0044guP, speed=25
5HGMV, speed=25
004HHLV, speed=25
5Tqnb, speed=25
004Trmb, speed=25
5gREh, speed=25
004gSDh, speed=25
5t1fn, speed=25
004t2en, speed=25
65c6t, speed=25
0055d5t, speed=25
6ICXz, speed=25
005IDWz, speed=25
6Umz5, speed=25
005Uny5, speed=25
6hNQB, speed=25
005hOPB, speed=25
6txrH, speed=25
005tyqH, speed=25
76YIN, speed=25
0066ZHN, speed=25
106g2q, speed=25
7J8jT, speed=25
006J9iT, speed=25
7VjAZ, speed=25
006Vk9Z, speed=25
7iJbf, speed=25
006iKaf, speed=25
7uu2l, speed=25
006uv1l, speed=25
87UTr, speed=25
0077VSr, speed=25
8K4ux, speed=25
007K5tx, speed=25
8WfM3, speed=25
-------------
Pass - 007WgL3
-------------
30612
start time: 22:43:23
