power.draw [W], utilization.gpu [%], utilization.memory [%]
56.54 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.44 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.44 W, 0 %, 0 %
56.53 W, 0 %, 0 %
56.35 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.32 W, 0 %, 0 %
56.61 W, 0 %, 0 %
56.34 W, 0 %, 0 %
56.42 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.26 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.53 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.53 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.35 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.44 W, 0 %, 0 %
56.35 W, 0 %, 0 %
56.53 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.45 W, 0 %, 0 %
56.54 W, 0 %, 0 %
56.35 W, 0 %, 0 %
57.32 W, 0 %, 0 %
57.79 W, 0 %, 0 %
57.69 W, 0 %, 0 %
57.98 W, 0 %, 0 %
57.50 W, 2 %, 0 %
57.79 W, 2 %, 0 %
57.86 W, 2 %, 0 %
69.48 W, 2 %, 0 %
63.83 W, 2 %, 0 %
59.69 W, 2 %, 0 %
58.15 W, 2 %, 0 %
58.92 W, 2 %, 0 %
70.16 W, 2 %, 0 %
63.06 W, 72 %, 3 %
59.40 W, 72 %, 3 %
58.15 W, 72 %, 3 %
63.93 W, 72 %, 3 %
70.83 W, 72 %, 3 %
62.19 W, 72 %, 3 %
59.02 W, 72 %, 3 %
57.95 W, 72 %, 3 %
68.04 W, 79 %, 3 %
71.02 W, 79 %, 3 %
61.71 W, 79 %, 3 %
58.82 W, 79 %, 3 %
58.05 W, 79 %, 3 %
69.10 W, 79 %, 3 %
70.25 W, 79 %, 3 %
61.62 W, 79 %, 3 %
58.83 W, 81 %, 4 %
58.24 W, 81 %, 4 %
73.24 W, 81 %, 4 %
67.02 W, 81 %, 4 %
60.95 W, 81 %, 4 %
58.54 W, 81 %, 4 %
58.15 W, 81 %, 4 %
68.52 W, 81 %, 4 %
70.54 W, 81 %, 4 %
61.81 W, 74 %, 3 %
58.63 W, 74 %, 3 %
58.15 W, 74 %, 3 %
67.94 W, 74 %, 3 %
70.83 W, 74 %, 3 %
61.71 W, 74 %, 3 %
58.73 W, 74 %, 3 %
58.15 W, 74 %, 3 %
68.61 W, 75 %, 3 %
70.44 W, 75 %, 3 %
61.72 W, 75 %, 3 %
58.63 W, 75 %, 3 %
58.15 W, 75 %, 3 %
69.58 W, 75 %, 3 %
69.69 W, 75 %, 3 %
61.62 W, 75 %, 3 %
58.73 W, 81 %, 4 %
58.05 W, 81 %, 4 %
72.66 W, 81 %, 4 %
68.23 W, 81 %, 4 %
61.14 W, 81 %, 4 %
57.86 W, 81 %, 4 %
57.21 W, 81 %, 4 %
57.09 W, 81 %, 4 %
56.83 W, 81 %, 4 %
56.89 W, 52 %, 2 %
57.02 W, 52 %, 2 %
71.02 W, 52 %, 2 %
69.39 W, 52 %, 2 %
61.43 W, 52 %, 2 %
58.44 W, 52 %, 2 %
58.15 W, 52 %, 2 %
70.16 W, 52 %, 2 %
69.68 W, 60 %, 3 %
61.62 W, 60 %, 3 %
58.73 W, 60 %, 3 %
58.08 W, 60 %, 3 %
69.87 W, 60 %, 3 %
70.35 W, 60 %, 3 %
61.72 W, 60 %, 3 %
58.63 W, 60 %, 3 %
58.05 W, 78 %, 3 %
68.61 W, 78 %, 3 %
70.54 W, 78 %, 3 %
61.81 W, 78 %, 3 %
58.73 W, 78 %, 3 %
57.96 W, 78 %, 3 %
68.04 W, 78 %, 3 %
70.83 W, 78 %, 3 %
61.81 W, 79 %, 3 %
58.72 W, 79 %, 3 %
58.05 W, 79 %, 3 %
57.19 W, 79 %, 3 %
56.92 W, 79 %, 3 %
69.77 W, 79 %, 3 %
63.06 W, 79 %, 3 %
59.21 W, 79 %, 3 %
