power.draw [W], utilization.gpu [%], utilization.memory [%]
116.92 W, 100 %, 39 %
117.91 W, 100 %, 39 %
117.24 W, 100 %, 39 %
117.24 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.72 W, 100 %, 39 %
116.59 W, 100 %, 39 %
117.48 W, 100 %, 39 %
117.48 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.86 W, 100 %, 39 %
117.86 W, 100 %, 39 %
117.19 W, 100 %, 39 %
117.19 W, 100 %, 39 %
117.05 W, 100 %, 39 %
117.53 W, 100 %, 39 %
117.53 W, 100 %, 39 %
116.20 W, 100 %, 39 %
116.20 W, 100 %, 39 %
117.29 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.82 W, 100 %, 39 %
117.62 W, 100 %, 39 %
117.62 W, 100 %, 39 %
116.59 W, 100 %, 39 %
116.71 W, 100 %, 39 %
116.71 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.72 W, 100 %, 39 %
117.14 W, 100 %, 38 %
117.43 W, 100 %, 38 %
117.43 W, 100 %, 38 %
117.10 W, 100 %, 38 %
117.10 W, 100 %, 38 %
117.33 W, 100 %, 38 %
117.24 W, 100 %, 38 %
117.24 W, 100 %, 38 %
117.41 W, 100 %, 38 %
117.41 W, 100 %, 38 %
117.45 W, 100 %, 38 %
118.12 W, 100 %, 38 %
118.12 W, 100 %, 38 %
116.86 W, 100 %, 38 %
116.86 W, 100 %, 38 %
117.67 W, 100 %, 38 %
117.11 W, 100 %, 38 %
117.11 W, 100 %, 38 %
117.91 W, 100 %, 38 %
117.91 W, 100 %, 38 %
116.87 W, 100 %, 38 %
117.19 W, 100 %, 38 %
117.19 W, 100 %, 38 %
117.24 W, 100 %, 38 %
117.24 W, 100 %, 38 %
117.53 W, 100 %, 38 %
116.33 W, 100 %, 38 %
116.33 W, 100 %, 38 %
117.82 W, 100 %, 38 %
117.82 W, 100 %, 38 %
116.86 W, 100 %, 38 %
117.16 W, 100 %, 38 %
117.16 W, 100 %, 38 %
116.78 W, 100 %, 38 %
116.78 W, 100 %, 38 %
117.62 W, 100 %, 38 %
116.86 W, 100 %, 38 %
116.86 W, 100 %, 38 %
117.38 W, 100 %, 38 %
117.38 W, 100 %, 38 %
117.24 W, 100 %, 38 %
117.43 W, 100 %, 38 %
117.43 W, 100 %, 38 %
116.57 W, 100 %, 38 %
116.57 W, 100 %, 38 %
117.91 W, 100 %, 38 %
116.66 W, 100 %, 38 %
116.66 W, 100 %, 38 %
117.40 W, 100 %, 38 %
117.40 W, 100 %, 38 %
117.07 W, 100 %, 38 %
117.24 W, 100 %, 38 %
117.24 W, 100 %, 38 %
116.39 W, 100 %, 38 %
116.39 W, 100 %, 38 %
117.72 W, 100 %, 38 %
116.57 W, 100 %, 38 %
116.57 W, 100 %, 38 %
117.19 W, 100 %, 38 %
117.19 W, 100 %, 38 %
116.76 W, 100 %, 38 %
117.33 W, 100 %, 38 %
117.33 W, 100 %, 38 %
111.50 W, 100 %, 38 %
111.50 W, 100 %, 38 %
115.72 W, 100 %, 38 %
116.78 W, 100 %, 38 %
116.78 W, 100 %, 38 %
116.76 W, 100 %, 38 %
116.76 W, 98 %, 37 %
116.57 W, 98 %, 37 %
116.35 W, 98 %, 37 %
116.35 W, 98 %, 37 %
117.45 W, 98 %, 37 %
117.45 W, 98 %, 37 %
116.87 W, 98 %, 37 %
116.88 W, 98 %, 37 %
116.88 W, 98 %, 37 %
116.86 W, 98 %, 37 %
116.86 W, 98 %, 37 %
116.09 W, 98 %, 37 %
116.38 W, 98 %, 37 %
116.38 W, 98 %, 37 %
117.64 W, 100 %, 38 %
117.64 W, 100 %, 38 %
116.49 W, 100 %, 38 %
117.16 W, 100 %, 38 %
117.16 W, 100 %, 38 %
116.66 W, 100 %, 38 %
116.66 W, 100 %, 38 %
116.54 W, 100 %, 38 %
116.86 W, 100 %, 38 %
116.86 W, 100 %, 38 %
117.33 W, 100 %, 38 %
117.33 W, 100 %, 38 %
116.86 W, 100 %, 38 %
117.53 W, 100 %, 38 %
117.53 W, 100 %, 38 %
116.49 W, 100 %, 38 %
116.49 W, 100 %, 38 %
117.43 W, 100 %, 38 %
116.95 W, 100 %, 38 %
116.95 W, 100 %, 38 %
115.99 W, 100 %, 38 %
115.99 W, 100 %, 38 %
116.95 W, 100 %, 38 %
117.14 W, 100 %, 38 %
117.14 W, 100 %, 38 %
116.78 W, 100 %, 38 %
116.78 W, 100 %, 38 %
116.47 W, 100 %, 38 %
116.39 W, 100 %, 38 %
116.39 W, 100 %, 38 %
116.86 W, 100 %, 38 %
116.86 W, 100 %, 38 %
116.86 W, 100 %, 38 %
117.11 W, 100 %, 38 %
117.11 W, 100 %, 38 %
116.97 W, 100 %, 38 %
116.97 W, 100 %, 38 %
116.11 W, 100 %, 38 %
116.49 W, 100 %, 38 %
116.49 W, 100 %, 38 %
116.28 W, 100 %, 38 %
116.28 W, 100 %, 38 %
116.68 W, 100 %, 38 %
116.86 W, 100 %, 38 %
116.86 W, 100 %, 38 %
116.59 W, 100 %, 38 %
116.59 W, 100 %, 38 %
116.28 W, 100 %, 38 %
116.66 W, 100 %, 38 %
116.66 W, 100 %, 38 %
116.18 W, 100 %, 38 %
116.18 W, 100 %, 38 %
116.95 W, 100 %, 38 %
115.99 W, 100 %, 38 %
115.99 W, 100 %, 38 %
116.97 W, 100 %, 38 %
