=================
CUDA Devices: 1
=================
000vLE, speed=5
0CZR5, speed=13
CaQ5, speed=13
0P9sB, speed=16
PArB, speed=16
blIH, speed=17
0bkJH, speed=17
oLjN, speed=19
0oKkN, speed=19
0000wAT, speed=20
10vBT, speed=20
000DWbZ, speed=20
1DVcZ, speed=20
000Q72f, speed=20
1Q63f, speed=20
000chTl, speed=21
1cgUl, speed=21
000pHur, speed=21
1pGvr, speed=21
0011sLx, speed=21
21rMx, speed=21
001ESn3, speed=21
2ERo3, speed=21
001R3E9, speed=21
2R2F9, speed=21
001ddfF, speed=21
2dcgF, speed=21
001qE6L, speed=21
2qD7L, speed=21
0022oXR, speed=22
32nYR, speed=22
002FOyX, speed=22
3FNzX, speed=22
002RzPd, speed=22
3RyQd, speed=22
002eZqj, speed=22
3eYrj, speed=22
002rAHp, speed=22
3r9Ip, speed=22
0033kiv, speed=22
43jjv, speed=22
003GLA1, speed=22
4GKB1, speed=22
003Svb7, speed=22
4Suc7, speed=22
003fW2D, speed=22
4fV3D, speed=22
003s6TJ, speed=22
4s5UJ, speed=22
0044guP, speed=22
54fvP, speed=22
004HHLV, speed=22
5HGMV, speed=22
004Trmb, speed=22
5Tqnb, speed=22
004gSDh, speed=22
5gREh, speed=22
004t2en, speed=22
5t1fn, speed=22
0055d5t, speed=22
65c6t, speed=22
005IDWz, speed=22
6ICXz, speed=22
005Uny5, speed=22
6Umz5, speed=22
005hOPB, speed=22
6hNQB, speed=22
005tyqH, speed=22
6txrH, speed=22
0066ZHN, speed=22
76YIN, speed=22
006J9iT, speed=22
7J8jT, speed=22
006Vk9Z, speed=22
7VjAZ, speed=22
106g2q, speed=22
006iKaf, speed=22
7iJbf, speed=22
006uv1l, speed=22
7uu2l, speed=22
0077VSr, speed=22
87UTr, speed=22
007K5tx, speed=22
8K4ux, speed=22
-------------
Pass - 007WgL3
-------------
31514
start time: 23:07:27
