power.draw [W], utilization.gpu [%], utilization.memory [%]
192.36 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.36 W, 99 %, 96 %
192.36 W, 99 %, 96 %
192.17 W, 99 %, 96 %
192.17 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.65 W, 99 %, 96 %
192.65 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.07 W, 99 %, 96 %
192.07 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.65 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.46 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.36 W, 99 %, 96 %
192.36 W, 99 %, 96 %
192.46 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.46 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.22 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.36 W, 99 %, 96 %
192.36 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
193.12 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.65 W, 99 %, 96 %
192.65 W, 99 %, 96 %
192.65 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
193.12 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.46 W, 99 %, 96 %
192.46 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.65 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.12 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.93 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.93 W, 99 %, 96 %
193.12 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.93 W, 99 %, 95 %
192.84 W, 99 %, 95 %
192.84 W, 99 %, 95 %
193.12 W, 99 %, 95 %
193.22 W, 99 %, 95 %
193.22 W, 99 %, 95 %
193.22 W, 99 %, 95 %
193.22 W, 99 %, 95 %
192.74 W, 99 %, 95 %
192.74 W, 99 %, 95 %
192.74 W, 99 %, 95 %
192.74 W, 99 %, 95 %
192.74 W, 99 %, 95 %
192.93 W, 99 %, 95 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
193.32 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.93 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
192.65 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.55 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.12 W, 99 %, 96 %
192.74 W, 99 %, 96 %
192.74 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.12 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.93 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
