=================
CUDA Devices: 1
=================
000vLE, speed=9
0CZR5, speed=22
CaQ5, speed=22
PArB, speed=25
0P9sB, speed=25
blIH, speed=27
0bkJH, speed=27
oLjN, speed=29
0oKkN, speed=29
0000wAT, speed=29
10vBT, speed=29
000DWbZ, speed=29
1DVcZ, speed=29
000Q72f, speed=29
1Q63f, speed=29
000chTl, speed=28
1cgUl, speed=28
000pHur, speed=29
1pGvr, speed=29
0011sLx, speed=29
21rMx, speed=29
001ESn3, speed=28
2ERo3, speed=28
001R3E9, speed=28
2R2F9, speed=28
001ddfF, speed=28
2dcgF, speed=28
2qD7L, speed=28
001qE6L, speed=28
32nYR, speed=28
0022oXR, speed=28
3FNzX, speed=28
002FOyX, speed=28
3RyQd, speed=28
002RzPd, speed=28
3eYrj, speed=28
002eZqj, speed=28
3r9Ip, speed=28
002rAHp, speed=28
43jjv, speed=28
0033kiv, speed=28
4GKB1, speed=28
003GLA1, speed=28
4Suc7, speed=28
003Svb7, speed=28
4fV3D, speed=28
003fW2D, speed=28
4s5UJ, speed=28
003s6TJ, speed=28
54fvP, speed=28
0044guP, speed=28
5HGMV, speed=28
004HHLV, speed=28
5Tqnb, speed=28
004Trmb, speed=28
5gREh, speed=28
004gSDh, speed=28
5t1fn, speed=28
004t2en, speed=28
65c6t, speed=28
0055d5t, speed=28
6ICXz, speed=28
005IDWz, speed=28
6Umz5, speed=28
005Uny5, speed=28
6hNQB, speed=28
005hOPB, speed=28
6txrH, speed=28
005tyqH, speed=28
76YIN, speed=28
0066ZHN, speed=28
106g2q, speed=28
7J8jT, speed=28
006J9iT, speed=28
7VjAZ, speed=28
006Vk9Z, speed=28
7iJbf, speed=28
006iKaf, speed=28
7uu2l, speed=28
006uv1l, speed=28
87UTr, speed=28
0077VSr, speed=28
8K4ux, speed=28
007K5tx, speed=28
8WfM3, speed=28
-------------
Pass - 007WgL3
-------------
27582
start time: 22:34:23
