power.draw [W], utilization.gpu [%], utilization.memory [%]
57.79 W, 0 %, 0 %
57.79 W, 0 %, 0 %
57.60 W, 0 %, 0 %
57.60 W, 0 %, 0 %
57.69 W, 0 %, 0 %
57.79 W, 0 %, 0 %
57.79 W, 0 %, 0 %
57.79 W, 0 %, 0 %
57.79 W, 0 %, 0 %
57.79 W, 0 %, 0 %
57.79 W, 0 %, 0 %
57.70 W, 0 %, 0 %
57.69 W, 0 %, 0 %
57.79 W, 0 %, 0 %
57.79 W, 0 %, 0 %
57.69 W, 0 %, 0 %
58.08 W, 0 %, 0 %
58.85 W, 0 %, 0 %
58.85 W, 0 %, 0 %
59.04 W, 0 %, 0 %
58.34 W, 0 %, 0 %
58.34 W, 0 %, 0 %
58.08 W, 0 %, 0 %
58.08 W, 0 %, 0 %
58.17 W, 0 %, 0 %
58.17 W, 5 %, 0 %
58.17 W, 5 %, 0 %
58.08 W, 5 %, 0 %
58.08 W, 5 %, 0 %
57.96 W, 5 %, 0 %
57.98 W, 5 %, 0 %
57.98 W, 5 %, 0 %
58.05 W, 5 %, 0 %
58.05 W, 5 %, 0 %
58.05 W, 5 %, 0 %
58.08 W, 5 %, 0 %
58.08 W, 5 %, 0 %
57.96 W, 5 %, 0 %
57.96 W, 5 %, 0 %
58.08 W, 12 %, 0 %
58.05 W, 12 %, 0 %
58.05 W, 12 %, 0 %
57.86 W, 12 %, 0 %
57.86 W, 12 %, 0 %
57.98 W, 12 %, 0 %
58.19 W, 12 %, 0 %
58.19 W, 12 %, 0 %
58.17 W, 12 %, 0 %
58.17 W, 12 %, 0 %
58.05 W, 12 %, 0 %
58.15 W, 12 %, 0 %
58.15 W, 12 %, 0 %
58.25 W, 12 %, 0 %
58.25 W, 12 %, 0 %
58.08 W, 12 %, 0 %
58.15 W, 12 %, 0 %
58.15 W, 12 %, 0 %
58.05 W, 12 %, 0 %
58.05 W, 12 %, 0 %
58.15 W, 12 %, 0 %
58.17 W, 12 %, 0 %
58.17 W, 12 %, 0 %
58.15 W, 12 %, 0 %
58.15 W, 12 %, 0 %
58.05 W, 12 %, 0 %
58.05 W, 12 %, 0 %
58.05 W, 12 %, 0 %
58.17 W, 12 %, 0 %
