rhs       -----------start-------------
CPU2  raw=9445179392 ena=221007700 run=221007700 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU2  raw=5680469 ena=219557648 run=151928487 ratio=0.00 cycles
CPU2  raw=535209 ena=219550771 run=151923923 ratio=0.00 instructions
CPU3  raw=1115635 ena=218783259 run=18446744073558480612 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU3  raw=1119592 ena=218922472 run=18446744073558377023 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU3  raw=606435 ena=218787261 run=18446744073556516563 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU3  raw=609490 ena=218926745 run=18446744073556412651 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU3  raw=5804302 ena=219587328 run=152025221 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU3  raw=472752 ena=219584879 run=152038610 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU3  raw=4177174 ena=219583799 run=152044275 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU3  raw=8068 ena=219580654 run=152065026 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU3  raw=4733571 ena=219577522 run=152077121 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU3  raw=1117 ena=219574140 run=152055408 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU3  raw=20 ena=219569632 run=152051104 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU3  raw=1127 ena=219564708 run=152047306 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU3  raw=17 ena=219556581 run=135062508 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU3  raw=39399 ena=219548447 run=135065001 ratio=0.00 hsw_ep::ICACHE:misses
CPU3  raw=566890 ena=219541942 run=152937333 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU3  raw=34721759232 ena=220979151 run=220979151 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU3  raw=9421979648 ena=220978657 run=220978657 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU3  raw=5743541 ena=219534400 run=151933927 ratio=0.00 cycles
CPU3  raw=551503 ena=219527396 run=151924363 ratio=0.00 instructions
CPU4  raw=1055904 ena=218754348 run=18446744073556310774 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU4  raw=1057538 ena=218893783 run=18446744073556203663 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU4  raw=506479 ena=218758433 run=18446744073554346495 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU4  raw=508644 ena=218897587 run=18446744073554235613 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU4  raw=5755911 ena=219557222 run=151996888 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU4  raw=468446 ena=219553837 run=152003301 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU4  raw=4157497 ena=219577777 run=152041022 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU4  raw=7778 ena=219576087 run=152043748 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU4  raw=4732426 ena=219572673 run=152067996 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU4  raw=1318 ena=219569377 run=152050768 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU4  raw=30 ena=219565033 run=152043034 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU4  raw=1272 ena=219560335 run=152049412 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU4  raw=16 ena=219552646 run=135065011 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU4  raw=37927 ena=219544591 run=135069145 ratio=0.00 hsw_ep::ICACHE:misses
CPU4  raw=566439 ena=219537947 run=152949590 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU4  raw=34863054848 ena=220978781 run=220978781 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU4  raw=9442557952 ena=220978860 run=220978860 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU4  raw=5694398 ena=219532859 run=151927271 ratio=0.00 cycles
CPU4  raw=553374 ena=219525672 run=151931049 ratio=0.00 instructions
CPU5  raw=1007209 ena=218756513 run=18446744073554694956 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU5  raw=1010400 ena=218894639 run=18446744073554599798 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU5  raw=472697 ena=218758345 run=18446744073571521926 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU5  raw=475062 ena=218896586 run=18446744073571435136 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU5  raw=5704281 ena=219564434 run=151995945 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU5  raw=464104 ena=219561245 run=152005561 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU5  raw=4114452 ena=219585196 run=152048791 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU5  raw=7848 ena=219583187 run=152062629 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU5  raw=4717010 ena=219580076 run=152070177 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU5  raw=1029 ena=219576624 run=152064140 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU5  raw=26 ena=219572183 run=152047653 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU5  raw=1061 ena=219567349 run=152042804 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
