rhs       -----------start-------------
CPU0  raw=2064714 ena=85136624 run=18446744073672386622 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=2069836 ena=85356948 run=18446744073672296728 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=620252 ena=85138605 run=18446744073673365574 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=618782 ena=85355221 run=18446744073673279655 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=108220630 ena=85812940 run=58054465 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=5699598 ena=85811878 run=58057797 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=153557589 ena=85810743 run=58065064 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=31263 ena=85809652 run=58071674 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=188711634 ena=85808661 run=58509836 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=1307570 ena=85807188 run=59491180 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=44514 ena=85805326 run=60466462 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=1306331 ena=85803065 run=61463098 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=31287 ena=85800694 run=55064291 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=19679 ena=85798464 run=54077214 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=138668284 ena=85797320 run=61029943 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=28116516864 ena=86540034 run=86540034 ratio=0.00 rapl::RAPL_ENERGY_PKG
