rhs       -----------start-------------
CPU0  raw=3411692 ena=154587315 run=18446744073634079653 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=3406083 ena=154742931 run=18446744073634023452 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=1012441 ena=154589009 run=18446744073635059236 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=1010841 ena=154741061 run=18446744073635029152 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=137263477 ena=156029418 run=108224124 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=10588234 ena=156084495 run=108461719 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=264435981 ena=156082961 run=108465687 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=54646 ena=156081433 run=108455703 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=313668732 ena=156079905 run=108440467 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=2698791 ena=156077970 run=108427029 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=13261 ena=156075217 run=108423024 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=2691409 ena=156072135 run=108422213 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=12593 ena=156068546 run=95524318 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=24327 ena=156065578 run=95273717 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=256356948 ena=156063595 run=108183883 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=37548195840 ena=157167384 run=157167384 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=10969743360 ena=157168818 run=157168818 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=135890922 ena=156064155 run=107179286 ratio=0.00 cycles
CPU0  raw=258989530 ena=156061762 run=107183533 ratio=0.00 instructions
CPU1  raw=3241300 ena=154604971 run=18446744073635974578 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=3241166 ena=154757468 run=18446744073635948728 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=993420 ena=154603790 run=18446744073636949649 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=994163 ena=154756652 run=18446744073636925942 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=134650042 ena=156017214 run=108231351 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=10283962 ena=156016825 run=108399248 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU1  raw=260661032 ena=156013319 run=108402282 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU1  raw=6727 ena=156010005 run=108397847 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU1  raw=316665713 ena=156006305 run=108375863 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU1  raw=2673596 ena=156001993 run=108369162 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU1  raw=341 ena=155997269 run=108356750 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU1  raw=2636323 ena=155992139 run=108354110 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU1  raw=314 ena=155986471 run=95452837 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU1  raw=14624 ena=155978735 run=95250408 ratio=0.00 hsw_ep::ICACHE:misses
CPU1  raw=250883308 ena=155973150 run=108149035 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU1  raw=37548195840 ena=157112952 run=157112952 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU1  raw=10969743360 ena=157112074 run=157112074 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU1  raw=133556613 ena=155965753 run=107159387 ratio=0.00 cycles
CPU1  raw=251724805 ena=155959621 run=107156204 ratio=0.00 instructions
CPU2  raw=3126259 ena=154540443 run=18446744073637808803 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU2  raw=3124143 ena=154691724 run=18446744073637769248 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU2  raw=1184542 ena=154537961 run=18446744073609998579 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU2  raw=1186467 ena=154691546 run=18446744073609941298 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU2  raw=134783020 ena=155976145 run=108247044 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU2  raw=10288286 ena=155973025 run=108354100 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU2  raw=260452631 ena=155969403 run=108350109 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU2  raw=6759 ena=155965482 run=108343322 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU2  raw=318003712 ena=155964753 run=108332885 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU2  raw=2738582 ena=155965669 run=108317046 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU2  raw=459 ena=155961164 run=108315221 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU2  raw=2655533 ena=155956068 run=108309644 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU2  raw=368 ena=155950455 run=95403775 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU2  raw=14570 ena=155944105 run=95267548 ratio=0.00 hsw_ep::ICACHE:misses
CPU2  raw=250445736 ena=155938536 run=108164488 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU2  raw=37548195840 ena=157055896 run=157055896 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU2  raw=10969743360 ena=157055269 run=157055269 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU2  raw=133874209 ena=155931558 run=107178606 ratio=0.00 cycles
CPU2  raw=251413703 ena=155925586 run=107175186 ratio=0.00 instructions
CPU3  raw=3130788 ena=154483834 run=18446744073583642285 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU3  raw=3126225 ena=154638406 run=18446744073583540073 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU3  raw=1423792 ena=154486844 run=18446744073582663807 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
