rhs       -----------start-------------
CPU0  raw=2881678 ena=98835262 run=18446744073659583804 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=2889101 ena=99080006 run=18446744073659446504 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=965038 ena=98836248 run=18446744073660605466 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=966218 ena=99078101 run=18446744073660448119 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=113136117 ena=99685946 run=67940125 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=6657679 ena=99684622 run=67932354 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=162209841 ena=99683293 run=67962198 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=35198 ena=99682106 run=67975355 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=198271142 ena=99681002 run=67962140 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=1611147 ena=99679480 run=68429103 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=52093 ena=99677092 run=69403325 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=1635532 ena=99674802 run=70405192 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=53854 ena=99672124 run=63464683 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=19914 ena=99669658 run=63010848 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=166603149 ena=99668148 run=70946467 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=30059528192 ena=100502153 run=100502153 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=7900299264 ena=100503383 run=100503383 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=114743264 ena=99668412 run=68930966 ratio=0.00 cycles
CPU0  raw=154296208 ena=99666517 run=67927365 ratio=0.00 instructions
CPU1  raw=2672749 ena=98814741 run=18446744073661537079 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=2676544 ena=99056497 run=18446744073661420926 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=1064171 ena=98813717 run=18446744073662514553 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=1070265 ena=99055268 run=18446744073662413531 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=110919895 ena=99614499 run=67886268 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=6430559 ena=99612043 run=67883665 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU1  raw=159099388 ena=99609115 run=67903442 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU1  raw=4487 ena=99606150 run=67900962 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU1  raw=201994015 ena=99603280 run=67891749 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU1  raw=1570598 ena=99597858 run=68399888 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU1  raw=3458 ena=99592566 run=69376870 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU1  raw=1545995 ena=99587244 run=70372917 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU1  raw=3453 ena=99581873 run=63439762 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU1  raw=12362 ena=99576704 run=62935282 ratio=0.00 hsw_ep::ICACHE:misses
CPU1  raw=159557489 ena=99573874 run=70865476 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU1  raw=30059528192 ena=100455241 run=100455241 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU1  raw=7900299264 ena=100454441 run=100454441 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU1  raw=114050564 ena=99569806 run=68870294 ratio=0.00 cycles
CPU1  raw=151621986 ena=99566492 run=67869032 ratio=0.00 instructions
CPU2  raw=2583228 ena=98762635 run=18446744073662917719 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU2  raw=2593379 ena=99005771 run=18446744073662818742 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU2  raw=1130302 ena=98764121 run=18446744073639850199 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU2  raw=1133161 ena=99008022 run=18446744073639719935 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU2  raw=110878672 ena=99603233 run=67872746 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU2  raw=6428118 ena=99600756 run=67872003 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU2  raw=161399918 ena=99597641 run=67892447 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU2  raw=4383 ena=99594652 run=67899181 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU2  raw=202917847 ena=99591556 run=67875684 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU2  raw=1501117 ena=99589787 run=68420378 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU2  raw=3609 ena=99584629 run=69397462 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU2  raw=1474587 ena=99579025 run=70386750 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU2  raw=3831 ena=99573307 run=63446359 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU2  raw=11785 ena=99568451 run=62907097 ratio=0.00 hsw_ep::ICACHE:misses
CPU2  raw=158499947 ena=99565425 run=70838666 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU2  raw=30356013056 ena=100412864 run=100412864 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU2  raw=7900299264 ena=100412231 run=100412231 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU2  raw=114107533 ena=99561599 run=68842184 ratio=0.00 cycles
CPU2  raw=150988137 ena=99558398 run=67841065 ratio=0.00 instructions
CPU3  raw=2338654 ena=98720782 run=18446744073617764732 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU3  raw=2350094 ena=98965165 run=18446744073617630773 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU3  raw=1146638 ena=98717449 run=18446744073615793666 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU3  raw=1149744 ena=98961662 run=18446744073615614038 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU3  raw=110829308 ena=99547550 run=67815870 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU3  raw=6427531 ena=99545219 run=67827904 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU3  raw=162348634 ena=99542122 run=67839273 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU3  raw=4987 ena=99539284 run=67844709 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU3  raw=202658004 ena=99536021 run=67827635 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU3  raw=1488413 ena=99530304 run=68406618 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU3  raw=3689 ena=99524868 run=69393656 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU3  raw=1440999 ena=99519488 run=70379374 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU3  raw=3614 ena=99513746 run=63440066 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU3  raw=11959 ena=99509183 run=62849745 ratio=0.00 hsw_ep::ICACHE:misses
CPU3  raw=158816601 ena=99506287 run=70777748 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU3  raw=30356013056 ena=100362197 run=100362197 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU3  raw=7913799680 ena=100361623 run=100361623 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU3  raw=114055352 ena=99501918 run=68784697 ratio=0.00 cycles
CPU3  raw=151881443 ena=99498576 run=67789045 ratio=0.00 instructions
CPU4  raw=2145556 ena=98669927 run=18446744073615808137 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU4  raw=2153080 ena=98914325 run=18446744073615607553 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU4  raw=1008649 ena=98674219 run=18446744073614250802 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU4  raw=1010849 ena=98917475 run=18446744073614076742 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU4  raw=110855004 ena=99506791 run=67776386 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU4  raw=6427462 ena=99504519 run=67777145 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU4  raw=162842246 ena=99501516 run=67789426 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU4  raw=4420 ena=99498718 run=67792218 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU4  raw=202835557 ena=99495793 run=67784692 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU4  raw=1490967 ena=99491651 run=68412181 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU4  raw=3213 ena=99486294 run=69393956 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU4  raw=1440486 ena=99480767 run=70389522 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU4  raw=3224 ena=99475048 run=63441506 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU4  raw=11781 ena=99470467 run=62815314 ratio=0.00 hsw_ep::ICACHE:misses
CPU4  raw=159007458 ena=99467451 run=70746670 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU4  raw=30356013056 ena=100319553 run=100319553 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU4  raw=7913799680 ena=100318815 run=100318815 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU4  raw=114078672 ena=99463162 run=68749359 ratio=0.00 cycles
CPU4  raw=152065740 ena=99462085 run=67747571 ratio=0.00 instructions
CPU5  raw=2231189 ena=98629254 run=18446744073632792200 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
