rhs       -----------start-------------
CPU0  raw=2421478 ena=207185998 run=18446744073608063047 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=2426364 ena=207388965 run=18446744073607955357 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=861266 ena=207187913 run=18446744073609055934 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=864389 ena=207387659 run=18446744073608955869 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=240826650 ena=208861506 run=144347850 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=14254222 ena=208860393 run=145169017 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=520750945 ena=208859389 run=145174961 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=70864 ena=208858083 run=145175649 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=623575956 ena=208856964 run=145171490 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=5304402 ena=208855298 run=145164547 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=8613 ena=208852831 run=145155088 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=5324911 ena=208850280 run=145149214 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=8466 ena=208847471 run=128216390 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=36592 ena=208844949 run=127382127 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=502873285 ena=208843386 run=144307968 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=42054975488 ena=209731877 run=209731877 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=12799377408 ena=209733142 run=209733142 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=239078767 ena=208843946 run=143306008 ratio=0.00 cycles
CPU0  raw=505570584 ena=208842028 run=143307002 ratio=0.00 instructions
CPU1  raw=2735151 ena=207165991 run=18446744073609981017 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=2741328 ena=207365594 run=18446744073609888423 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=933021 ena=207165242 run=18446744073610962933 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=937027 ena=207364706 run=18446744073610873970 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=237379297 ena=208771685 run=144338798 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=13851492 ena=208770381 run=145106971 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU1  raw=511234325 ena=208767980 run=145099241 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU1  raw=9229 ena=208765208 run=145092449 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU1  raw=616720011 ena=208762536 run=145093019 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU1  raw=5301200 ena=208759547 run=145089204 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU1  raw=203 ena=208756066 run=145083266 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU1  raw=5233593 ena=208752325 run=145061936 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU1  raw=516 ena=208748206 run=128132108 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
