rhs       -----------start-------------
CPU0  raw=3073945 ena=149539510 run=18446744073633896046 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=3074320 ena=149746774 run=18446744073633805184 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=921771 ena=149541207 run=18446744073634884314 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=927037 ena=149744962 run=18446744073634804937 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=172074035 ena=150857673 run=103130940 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=10126042 ena=150856362 run=103138064 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=331147700 ena=150855254 run=103142477 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=51428 ena=150854110 run=103141330 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=392979763 ena=150853343 run=103402782 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=3105900 ena=150851952 run=104392868 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=12679 ena=150849569 run=105394090 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=3194954 ena=150846969 run=106388559 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=12407 ena=150844205 run=95185337 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=28055 ena=150842012 run=94185435 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=316166370 ena=150840436 run=106111758 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=37545050112 ena=151674735 run=151674735 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=10635313152 ena=151675815 run=151675815 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=173679341 ena=150840863 run=104113204 ratio=0.00 cycles
CPU0  raw=317792546 ena=150839229 run=103116334 ratio=0.00 instructions
CPU1  raw=2946851 ena=149520958 run=18446744073635818710 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=2944898 ena=149724447 run=18446744073635724018 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=1104285 ena=149519878 run=18446744073636816180 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=1110524 ena=149723239 run=18446744073636732719 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=169734855 ena=150789703 run=103070769 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=9926278 ena=150787815 run=103074171 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU1  raw=334863231 ena=150784922 run=103080172 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU1  raw=6340 ena=150782327 run=103085270 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU1  raw=389375172 ena=150778490 run=103383877 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU1  raw=2989621 ena=150774007 run=104375399 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU1  raw=207 ena=150768986 run=105372710 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU1  raw=3047821 ena=150763666 run=106355196 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU1  raw=198 ena=150759257 run=95122860 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU1  raw=16380 ena=150754393 run=94122969 ratio=0.00 hsw_ep::ICACHE:misses
CPU1  raw=309627127 ena=150751444 run=106039734 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU1  raw=37545050112 ena=151631916 run=151631916 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU1  raw=10635313152 ena=151629722 run=151629722 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU1  raw=171691663 ena=150745275 run=104056218 ratio=0.00 cycles
CPU1  raw=320392426 ena=150741854 run=103052973 ratio=0.00 instructions
CPU2  raw=3031191 ena=149471028 run=18446744073637704326 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU2  raw=3047388 ena=149679025 run=18446744073637643675 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU2  raw=1457086 ena=149474501 run=18446744073615374845 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU2  raw=1464685 ena=149678775 run=18446744073615301054 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU2  raw=169948397 ena=150814069 run=103081058 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU2  raw=9927986 ena=150811914 run=103083759 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU2  raw=333133664 ena=150809172 run=103091172 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU2  raw=6897 ena=150806270 run=103086355 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU2  raw=388637892 ena=150804539 run=103433104 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU2  raw=3056673 ena=150800176 run=104423021 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU2  raw=309 ena=150795276 run=105412553 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU2  raw=3042740 ena=150789741 run=106401247 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU2  raw=223 ena=150784964 run=95113657 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
