rhs       -----------start-------------
CPU0  raw=2102854 ena=72027285 run=18446744073672283787 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=2109613 ena=72137471 run=18446744073672229532 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=540534 ena=72040988 run=18446744073672289039 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=541095 ena=72147211 run=18446744073672232088 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=95794912 ena=72576829 run=48749329 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=4792443 ena=72575435 run=48750177 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=146012394 ena=72574197 run=48749884 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=27257 ena=72573030 run=48742147 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=178632159 ena=72614303 run=49633364 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=1240344 ena=72613370 run=50637002 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=57690 ena=72611811 run=51633316 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=1302695 ena=72609815 run=52621074 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=58219 ena=72607710 run=46815930 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=16295 ena=72605719 run=45808971 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=146516800 ena=72604475 run=51769335 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=22319464448 ena=73129901 run=73129901 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=5638848512 ena=73130954 run=73130954 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=97802657 ena=72605249 run=49780249 ratio=0.00 cycles
CPU0  raw=145220407 ena=72603814 run=48780344 ratio=0.00 instructions
CPU1  raw=1869729 ena=72058769 run=18446744073672302276 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=1868461 ena=72163942 run=18446744073672233595 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=623510 ena=72059648 run=18446744073672311863 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=624728 ena=72165036 run=18446744073672250016 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=93855345 ena=72574073 run=48747106 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=4595065 ena=72572506 run=48744176 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
