iter 1
t_rhs     -----------start-------------
CPU2  raw=43687 ena=5638482 run=1660042 ratio=0.00 instructions
CPU3  raw=59317 ena=5600300 run=18446744073674215401 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU3  raw=60498 ena=5605964 run=18446744073674179700 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU3  raw=53428 ena=5603775 run=18446744073672250564 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU3  raw=53666 ena=5609605 run=18446744073672213676 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU3  raw=136750 ena=5658966 run=1653005 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU3  raw=5091 ena=5656212 run=2041911 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU3  raw=74798 ena=5652319 run=3033061 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU3  raw=392 ena=5648538 run=4045698 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU3  raw=131002 ena=5644584 run=5035923 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU3  raw=105 ena=5641875 run=5641875 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU3  raw=11 ena=5639279 run=5639279 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU3  raw=105 ena=5636575 run=5636575 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU3  raw=5 ena=5633481 run=4628888 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU3  raw=1035 ena=5630474 run=3637374 ratio=0.00 hsw_ep::ICACHE:misses
CPU3  raw=53534 ena=5628749 run=4633564 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU3  raw=845152256 ena=5644826 run=5644826 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU3  raw=163250176 ena=5644689 run=5644689 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU3  raw=187189 ena=5626676 run=2656765 ratio=0.00 cycles
CPU3  raw=43349 ena=5624635 run=1642388 ratio=0.00 instructions
CPU4  raw=34977 ena=5588586 run=18446744073672030312 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU4  raw=35059 ena=5594468 run=18446744073671994296 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU4  raw=11509 ena=5592285 run=18446744073670066197 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU4  raw=11363 ena=5598098 run=18446744073670025839 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU4  raw=164917 ena=5623194 run=1622336 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU4  raw=7222 ena=5619402 run=2046765 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU4  raw=112712 ena=5612917 run=3051230 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU4  raw=594 ena=5608415 run=4025238 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU4  raw=180232 ena=5604086 run=5032601 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU4  raw=131 ena=5601083 run=5601083 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU4  raw=74 ena=5597915 run=5597915 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU4  raw=129 ena=5594530 run=5594530 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU4  raw=66 ena=5591032 run=4586368 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU4  raw=924 ena=5587582 run=3595114 ratio=0.00 hsw_ep::ICACHE:misses
CPU4  raw=81907 ena=5585704 run=4590836 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU4  raw=992477184 ena=5623916 run=5623916 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU4  raw=181862400 ena=5624312 run=5624312 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU4  raw=186956 ena=5606752 run=2621476 ratio=0.00 cycles
CPU4  raw=43429 ena=5604372 run=1645149 ratio=0.00 instructions
CPU5  raw=0 ena=5568627 run=18446744073669917422 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU5  raw=0 ena=5573505 run=18446744073669895197 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU5  raw=0 ena=5570349 run=18446744073692067434 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU5  raw=0 ena=5574791 run=18446744073692067586 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU5  raw=126603 ena=5621450 run=1621591 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
