ep        -----------start-------------
CPU0  raw=1251983 ena=32949155007 run=18446744055866413569 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=845158 ena=32966345975 run=18446744055855117038 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=932450 ena=32949207207 run=18446744055867676876 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=542084 ena=32966344282 run=18446744055856770809 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=45250897221 ena=33180365475 run=22969580066 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=2263293075 ena=33180364205 run=22970550788 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=95739523328 ena=33180363072 run=22971516512 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=11049267 ena=33180361912 run=22971514767 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=61180466485 ena=33180360552 run=22971423997 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=3058908 ena=33180359467 run=22971223577 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=183093 ena=33180357438 run=22970817494 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=3059069 ena=33180355235 run=22970934772 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=162681 ena=33180352909 run=20419721964 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=4067250 ena=33180350929 run=20418949307 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=51613549983 ena=33180349223 run=22972529156 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=8158332846080 ena=33275849799 run=33275849799 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=723931365376 ena=33275850599 run=33275850599 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=45236056476 ena=33180349173 run=22970507745 ratio=0.00 cycles
CPU0  raw=51612696409 ena=33180347487 run=22969568518 ratio=0.00 instructions
