ep        -----------start-------------
CPU0  raw=209732 ena=13020759009 run=18446744066665746533 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=37654 ena=13026409637 run=18446744066662707648 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=157156 ena=13020829915 run=18446744066666744315 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=9048 ena=13026407255 run=18446744066663691053 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=20583658019 ena=13101078853 run=9069375846 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=895194330 ena=13101077396 run=9069677106 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=43763096109 ena=13101076035 run=9070055112 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=4342553 ena=13101075018 run=9070093951 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=27930965005 ena=13101075077 run=9070087525 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=433392 ena=13101074775 run=9070070828 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=55648 ena=13101073108 run=9069953662 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=432938 ena=13101071326 run=9069922823 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=41506 ena=13101069300 run=8062690559 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=1787820 ena=13101067236 run=8062404237 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=23598332477 ena=13101066326 run=9071238962 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=3988264583168 ena=13136189428 run=13136189428 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=252934684672 ena=13136189866 run=13136189866 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=20578780996 ena=13101065944 run=9069902325 ratio=0.00 cycles
CPU0  raw=23592053281 ena=13101064444 run=9069378209 ratio=0.00 instructions
CPU1  raw=200927 ena=13020814140 run=18446744066667652164 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=28197 ena=13026391566 run=18446744066664652959 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
