ep        -----------start-------------
CPU0  raw=853753 ena=173918565672 run=18446743979498530619 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=2602183 ena=175254942230 run=18446743978777276839 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=196439 ena=173918586707 run=18446743979494208322 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=2025294 ena=175254918193 run=18446743978774372418 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=44864594859 ena=179899367526 run=124452972774 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=5626376465 ena=179899364826 run=124524981289 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=43731545457 ena=179899337390 run=124592870206 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=53631461 ena=179899335182 run=124607975263 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=37374280422 ena=179899333557 run=124593475963 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=9648427 ena=179899301433 run=124597803463 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=1209038 ena=179899288394 run=124590248432 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=9656353 ena=179899277410 run=124570376308 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=1075804 ena=179899239099 run=110752252346 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=7647335 ena=179899169797 run=110675881507 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=28713589612 ena=179899134410 run=124512237261 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=23682324889600 ena=184421596172 run=184421596172 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=3605237399552 ena=184421601099 run=184421601099 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=44680679538 ena=179899158673 run=124451129802 ratio=0.00 cycles
CPU0  raw=28716197756 ena=179899126778 run=124438428943 ratio=0.00 instructions
CPU1  raw=864309 ena=173918363221 run=18446743979515195537 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=2609616 ena=175254697260 run=18446743978797951003 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=207434 ena=173918818883 run=18446743979517681165 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=2035303 ena=175255161579 run=18446743978801501046 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=35257901575 ena=180672657844 run=124959929609 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=4422322929 ena=180672658818 run=125046605526 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU1  raw=32962128583 ena=180672659749 run=125141832123 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU1  raw=5613604 ena=180672659942 run=125141391075 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU1  raw=29414247758 ena=180672750548 run=125140177462 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU1  raw=221380 ena=180672729469 run=125141998596 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU1  raw=164435 ena=180672700353 run=125131868342 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU1  raw=222442 ena=180672699508 run=125132569686 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU1  raw=150376 ena=180672692286 run=111245586496 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU1  raw=9210394 ena=180673147694 run=111156784165 ratio=0.00 hsw_ep::ICACHE:misses
CPU1  raw=23596703856 ena=180673135445 run=125046971198 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU1  raw=23682457272320 ena=184422623090 run=184422623090 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU1  raw=3605260599296 ena=184422633539 run=184422633539 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU1  raw=35081393539 ena=180673142577 run=124955303621 ratio=0.00 cycles
CPU1  raw=23597224368 ena=180673103891 run=124955647577 ratio=0.00 instructions
CPU2  raw=857863 ena=173919217748 run=18446743979518832110 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU2  raw=2603433 ena=175255584686 run=18446743978806085835 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU2  raw=207580 ena=173919243435 run=18446743979362486934 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU2  raw=2034430 ena=175255580737 run=18446743978652114471 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU2  raw=35240174828 ena=180603398749 run=125004171632 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU2  raw=4420667343 ena=180603171205 run=125030444446 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU2  raw=32870725130 ena=180603170350 run=125059476595 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU2  raw=5529416 ena=180603169250 run=125058464611 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU2  raw=29376929002 ena=180603167756 run=125055875142 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU2  raw=182537 ena=180603683195 run=125051319233 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU2  raw=159619 ena=180603678277 run=125041474390 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU2  raw=182972 ena=180603639096 run=125036954265 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU2  raw=150750 ena=180603596552 run=111147360685 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU2  raw=8602914 ena=180603644395 run=111125221273 ratio=0.00 hsw_ep::ICACHE:misses
CPU2  raw=23575505472 ena=180603628057 run=125021044824 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU2  raw=23682598830080 ena=184422923583 run=184422923583 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU2  raw=3605288189952 ena=184422923603 run=184422923603 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU2  raw=35065312655 ena=180603606267 run=124997374621 ratio=0.00 cycles
CPU2  raw=23589396937 ena=180603572059 run=125000730414 ratio=0.00 instructions
