ep        -----------start-------------
CPU0  raw=2077317 ena=23062840544 run=18446744061227534011 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=1844114 ena=23078334003 run=18446744061220014056 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=1781546 ena=23062969648 run=18446744061228890983 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=1543153 ena=23078331284 run=18446744061221282496 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=22045538580 ena=23281806542 run=16114932008 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=1575493208 ena=23281804812 run=16115858441 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=46188045092 ena=23281802947 run=16117730979 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=7584627 ena=23281827832 run=16118782666 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=29656190434 ena=23281826203 run=16119647695 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=2634908 ena=23281824386 run=16120545194 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=186718 ena=23281821792 run=16120372496 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=2631606 ena=23281818815 run=16120295028 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=165815 ena=23281815771 run=14329062720 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=2540940 ena=23281812756 run=14327240108 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=24910330209 ena=23281811107 run=16118749453 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=4269823754240 ena=23381865624 run=23381865624 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=536269094912 ena=23381865703 run=23381865703 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=22034893757 ena=23281810233 run=16115901521 ratio=0.00 cycles
CPU0  raw=24909541202 ena=23281810037 run=16114841969 ratio=0.00 instructions
CPU1  raw=2089128 ena=23062977734 run=18446744061230122639 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=1856727 ena=23078339648 run=18446744061222735132 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=1791596 ena=23062976268 run=18446744061231070839 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=1553767 ena=23078337819 run=18446744061223869428 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=20752347016 ena=23281765104 run=16114646408 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=1482837293 ena=23281761479 run=16115786787 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU1  raw=45118995366 ena=23281757457 run=16117843100 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU1  raw=802417 ena=23281752404 run=16118914271 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU1  raw=28583817894 ena=23281747326 run=16119855411 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU1  raw=1592538 ena=23281743160 run=16120625330 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU1  raw=23343 ena=23281737833 run=16120402919 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU1  raw=1591004 ena=23281733492 run=16120335848 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU1  raw=24638 ena=23281729952 run=14329028462 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU1  raw=1653772 ena=23281744072 run=14327142714 ratio=0.00 hsw_ep::ICACHE:misses
CPU1  raw=24258494461 ena=23281740473 run=16118515285 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU1  raw=4269823754240 ena=23381841436 run=23381841436 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU1  raw=536269094912 ena=23381842205 run=23381842205 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU1  raw=20739787053 ena=23281738574 run=16115598806 ratio=0.00 cycles
CPU1  raw=24257090446 ena=23281795668 run=16114703785 ratio=0.00 instructions
CPU2  raw=2087909 ena=23062995732 run=18446744061231526941 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU2  raw=1853135 ena=23078359523 run=18446744061224385494 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU2  raw=1787884 ena=23062993770 run=18446744061204165315 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU2  raw=1548182 ena=23078359168 run=18446744061197126647 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU2  raw=20741100295 ena=23281887594 run=16114656368 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU2  raw=1482134348 ena=23281886230 run=16115762071 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU2  raw=45121410191 ena=23281885900 run=16117869527 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU2  raw=774091 ena=23281881091 run=16119068653 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU2  raw=28588398775 ena=23281875900 run=16120177698 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU2  raw=1929400 ena=23281870436 run=16120983439 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU2  raw=21259 ena=23281865646 run=16120730732 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU2  raw=1930039 ena=23281862302 run=16120586986 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU2  raw=20398 ena=23281857691 run=14328945739 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU2  raw=1585406 ena=23281852374 run=14327029684 ratio=0.00 hsw_ep::ICACHE:misses
CPU2  raw=24256096113 ena=23281849283 run=16118435658 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU2  raw=4269823754240 ena=23381873433 run=23381873433 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU2  raw=536269094912 ena=23381872867 run=23381872867 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU2  raw=20730207030 ena=23281843761 run=16115517214 ratio=0.00 cycles
CPU2  raw=24257880154 ena=23281839873 run=16114641583 ratio=0.00 instructions
CPU3  raw=2073933 ena=23062964357 run=18446744061178137224 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU3  raw=1834546 ena=23078330356 run=18446744061171188801 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU3  raw=1788280 ena=23062966546 run=18446744061176812280 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU3  raw=1549063 ena=23078332447 run=18446744061169771349 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU3  raw=20739646881 ena=23280993967 run=16113525648 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU3  raw=1482081883 ena=23280988825 run=16114888778 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU3  raw=45109166071 ena=23280984055 run=16117383586 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU3  raw=763180 ena=23280979232 run=16118732942 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU3  raw=28579486291 ena=23280973872 run=16119928123 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU3  raw=2472317 ena=23280971216 run=16120725474 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU3  raw=20009 ena=23280988525 run=16120371974 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU3  raw=2471915 ena=23280984877 run=16120214018 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU3  raw=19310 ena=23280979928 run=14328554807 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU3  raw=1398561 ena=23280975353 run=14326398487 ratio=0.00 hsw_ep::ICACHE:misses
CPU3  raw=24252249506 ena=23280972277 run=16117660791 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU3  raw=4269823754240 ena=23381855161 run=23381855161 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU3  raw=536269094912 ena=23381855149 run=23381855149 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU3  raw=20726466447 ena=23280971210 run=16114515958 ratio=0.00 cycles
CPU3  raw=24254510176 ena=23280967477 run=16113435491 ratio=0.00 instructions
CPU4  raw=2059933 ena=23062946338 run=18446744061178045957 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU4  raw=1817850 ena=23078313626 run=18446744061170566101 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU4  raw=1781612 ena=23062951016 run=18446744061177179216 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU4  raw=1540956 ena=23078317234 run=18446744061168972072 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU4  raw=20720635933 ena=23274425195 run=16108960045 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU4  raw=1480627187 ena=23274421177 run=16110153563 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU4  raw=45113256698 ena=23274415959 run=16112530618 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU4  raw=753985 ena=23274411149 run=16114112586 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU4  raw=28579797840 ena=23274406020 run=16115401355 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU4  raw=1893391 ena=23274401741 run=16116248591 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU4  raw=19295 ena=23274396364 run=16115664668 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU4  raw=1891830 ena=23274395315 run=16115480176 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU4  raw=18774 ena=23274390219 run=14324490199 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU4  raw=1370920 ena=23274407821 run=14322475460 ratio=0.00 hsw_ep::ICACHE:misses
