ep        -----------start-------------
CPU2  raw=39844060474 ena=41643587483 run=28828312536 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU2  raw=7255447830528 ena=41842136983 run=41842136983 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU2  raw=973737230336 ena=41842136193 run=41842136193 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU2  raw=34137352854 ena=41643581593 run=28825742068 ratio=0.00 cycles
CPU2  raw=39845440268 ena=41643575568 run=28825828403 ratio=0.00 instructions
CPU3  raw=4789290 ena=41233502184 run=18446744051326575313 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU3  raw=4279823 ena=41263294320 run=18446744051310368770 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU3  raw=4027892 ena=41233507781 run=18446744051325451492 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU3  raw=3581219 ena=41263299924 run=18446744051309366819 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU3  raw=34124653415 ena=41646581381 run=28827879279 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU3  raw=2626328144 ena=41646575812 run=28830537812 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU3  raw=74094599377 ena=41646572055 run=28833039943 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU3  raw=1392059 ena=41646568936 run=28834327489 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU3  raw=46960503254 ena=41646567276 run=28835098085 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU3  raw=4205365 ena=41646563585 run=28835396032 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU3  raw=86126 ena=41646559581 run=28835328830 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU3  raw=4205591 ena=41646555730 run=28834840186 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU3  raw=77256 ena=41646550520 run=25630210238 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU3  raw=2845137 ena=41646545477 run=25627246663 ratio=0.00 hsw_ep::ICACHE:misses
CPU3  raw=39842096649 ena=41646542220 run=28831214533 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU3  raw=7255447830528 ena=41842092597 run=41842092597 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU3  raw=973737230336 ena=41842092252 run=41842092252 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU3  raw=34106392740 ena=41646536517 run=28827746618 ratio=0.00 cycles
CPU3  raw=39840575862 ena=41646530664 run=28827334875 ratio=0.00 instructions
CPU4  raw=4736200 ena=41233458281 run=18446744051326917881 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU4  raw=4250641 ena=41263250594 run=18446744051311213330 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU4  raw=4017378 ena=41233464092 run=18446744051325224731 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU4  raw=3568390 ena=41263256387 run=18446744051309748020 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU4  raw=34110528975 ena=41641099742 run=28825654062 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU4  raw=2625135992 ena=41641094189 run=28827972410 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU4  raw=74108298159 ena=41641090269 run=28829614352 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU4  raw=1391246 ena=41641087295 run=28828526840 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU4  raw=46962315432 ena=41641083808 run=28828516832 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU4  raw=4334161 ena=41641079419 run=28829136280 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU4  raw=22769 ena=41641075033 run=28829456706 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU4  raw=4333620 ena=41641073717 run=28830571442 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU4  raw=21110 ena=41641068708 run=25628052574 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU4  raw=2644292 ena=41641065623 run=25625108341 ratio=0.00 hsw_ep::ICACHE:misses
CPU4  raw=39847862157 ena=41641062394 run=28828912499 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU4  raw=7255447830528 ena=41842064776 run=41842064776 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU4  raw=973737230336 ena=41842063192 run=41842063192 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU4  raw=34093849690 ena=41641056475 run=28825474988 ratio=0.00 cycles
CPU4  raw=39843252314 ena=41641050093 run=28825327192 ratio=0.00 instructions
CPU5  raw=4703403 ena=41233428678 run=18446744051325766190 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU5  raw=4222542 ena=41263220771 run=18446744051310627696 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU5  raw=4012251 ena=41233434084 run=18446744051324345703 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU5  raw=3562218 ena=41263225729 run=18446744051309403225 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU5  raw=34107819432 ena=41640491593 run=28823122545 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU5  raw=2625081513 ena=41640487975 run=28826453393 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU5  raw=74107010154 ena=41640484745 run=28829071136 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU5  raw=1402252 ena=41640481814 run=28830024050 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU5  raw=46957615401 ena=41640501267 run=28830656331 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU5  raw=4039301 ena=41640496392 run=28830874764 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU5  raw=22890 ena=41640491914 run=28831211620 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU5  raw=4037356 ena=41640487500 run=28831465410 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU5  raw=21201 ena=41640482475 run=25627275035 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU5  raw=2491275 ena=41640477613 run=25623706148 ratio=0.00 hsw_ep::ICACHE:misses
CPU5  raw=39840584884 ena=41640474855 run=28827017947 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU5  raw=7255447830528 ena=41842044631 run=41842044631 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU5  raw=973737230336 ena=41842044259 run=41842044259 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU5  raw=34088991552 ena=41640468518 run=28822750680 ratio=0.00 cycles
CPU5  raw=39836184597 ena=41640462312 run=28822088668 ratio=0.00 instructions
CPU6  raw=4703229 ena=41233409632 run=18446744051343336104 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU6  raw=4217154 ena=41263199917 run=18446744051327893528 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU6  raw=4011297 ena=41233411717 run=18446744051342128888 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU6  raw=3562114 ena=41263211530 run=18446744051325847969 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU6  raw=34112756402 ena=41652739226 run=28833227670 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU6  raw=2625381615 ena=41652735584 run=28836287083 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU6  raw=74102866930 ena=41652732275 run=28838720782 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU6  raw=1390442 ena=41652730083 run=28839060418 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU6  raw=46962355060 ena=41652728058 run=28839049964 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU6  raw=3956599 ena=41652724710 run=28838977202 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU6  raw=35236 ena=41652744964 run=28838330085 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU6  raw=3956820 ena=41652739619 run=28838060111 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU6  raw=32591 ena=41652734563 run=25633254451 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU6  raw=2537618 ena=41652729753 run=25630235956 ratio=0.00 hsw_ep::ICACHE:misses
CPU6  raw=39843195995 ena=41652726391 run=28835106789 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU6  raw=7255307845632 ena=41842033726 run=41842033726 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU6  raw=973716324352 ena=41842033492 run=41842033492 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU6  raw=34094157633 ena=41652724572 run=28832104853 ratio=0.00 cycles
CPU6  raw=39842052964 ena=41652718768 run=28832112906 ratio=0.00 instructions
CPU7  raw=4706966 ena=41233403442 run=18446744051343743160 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU7  raw=4221043 ena=41263194224 run=18446744051326054856 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU7  raw=4015380 ena=41233406237 run=18446744051343544448 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU7  raw=3565021 ena=41263197192 run=18446744051324675265 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU7  raw=34112801723 ena=41650876036 run=28832472814 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU7  raw=2625337610 ena=41650872940 run=28835282819 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU7  raw=74106376726 ena=41650870007 run=28837469247 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU7  raw=1447004 ena=41650866289 run=28837615250 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU7  raw=46967625313 ena=41650862977 run=28837590029 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU7  raw=4811280 ena=41650859231 run=28837274659 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU7  raw=25963 ena=41650854270 run=28836691306 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU7  raw=4807417 ena=41650849198 run=28836413053 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU7  raw=23651 ena=41650843836 run=25631714197 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU7  raw=2893689 ena=41650839534 run=25629174693 ratio=0.00 hsw_ep::ICACHE:misses
CPU7  raw=39843926140 ena=41650857002 run=28833963495 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU7  raw=7255307845632 ena=41842013174 run=41842013174 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU7  raw=973716324352 ena=41842012735 run=41842012735 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU7  raw=34095098131 ena=41650882036 run=28831152416 ratio=0.00 cycles
CPU7  raw=39842836620 ena=41650875922 run=28831214238 ratio=0.00 instructions
CPU8  raw=4714611 ena=41233386641 run=18446744051345884809 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU8  raw=4226595 ena=41263177125 run=18446744051325977016 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU8  raw=4011872 ena=41233388678 run=18446744051345577565 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU8  raw=3566462 ena=41263179431 run=18446744051327180375 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
