ep        -----------start-------------
CPU0  raw=261121 ena=43908032791 run=18446744049939193194 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=844552 ena=43964465151 run=18446744049904988252 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=67673 ena=43908037499 run=18446744049940971733 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=547442 ena=43964463353 run=18446744049907585174 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=25174409193 ena=44539329987 run=30829709019 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=2952723994 ena=44539328423 run=30832760870 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=51615956899 ena=44539327347 run=30836644858 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=14197136 ena=44539326140 run=30837590494 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=33480269235 ena=44539324985 run=30838129427 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=2290486 ena=44539323491 run=30838379910 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=162607 ena=44539321621 run=30837391529 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=2297239 ena=44539319619 run=30836787899 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=144201 ena=44539317293 run=27410822364 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=3956205 ena=44539315106 run=27407517083 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=27872292978 ena=44539313721 run=30834335816 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=6571813765120 ena=44847833726 run=44847833726 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU0  raw=901887492096 ena=44847833696 run=44847833696 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU0  raw=25152741021 ena=44539312983 run=30830254634 ratio=0.00 cycles
CPU0  raw=27866416507 ena=44539311333 run=30829389188 ratio=0.00 instructions
CPU1  raw=277475 ena=43908018566 run=18446744049941538491 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU1  raw=892056 ena=43964444327 run=18446744049909791218 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU1  raw=72357 ena=43908017349 run=18446744049941257996 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU1  raw=558807 ena=43964443007 run=18446744049910860079 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU1  raw=22873909042 ena=44541236432 run=30830659871 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU1  raw=2846318656 ena=44541232235 run=30833676637 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU1  raw=49525237616 ena=44541228819 run=30837704904 ratio=0.00 hsw_ep::UOPS_ISSUED
