ep        -----------start-------------
CPU0  raw=3492899 ena=428682029945 run=18446743841062595189 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU0  raw=7265517 ena=433574016145 run=18446743838085287899 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU0  raw=687208 ena=428682731237 run=18446743840979019235 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU0  raw=4956038 ena=433574044201 run=18446743838330957265 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU0  raw=88228257780 ena=463503905502 run=320961872202 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU0  raw=11020486958 ena=463503926591 run=320053206070 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU0  raw=127589871761 ena=463503926110 run=320084426876 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU0  raw=87062448 ena=463503924456 run=320339984476 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU0  raw=89497806214 ena=463503923089 run=320362301364 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU0  raw=11006611 ena=463503947948 run=320972669808 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU0  raw=10016903 ena=463503945020 run=320775806300 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU0  raw=11000814 ena=463503941682 run=320754290915 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU0  raw=8922826 ena=463503961986 run=285683655025 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU0  raw=16878083 ena=463503959479 run=285981998661 ratio=0.00 hsw_ep::ICACHE:misses
CPU0  raw=68222030623 ena=463503957448 run=321745225482 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU0  raw=55617328250880 ena=470867782462 run=470867782462 ratio=0.00 rapl::RAPL_ENERGY_PKG
