TensorFlow:  1.13
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Num batches: 1000
Num epochs:  0.05
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Major Loop Start:Thu Aug 29 21:51:04 2019
Step	Img/sec	total_loss
1	images/sec: 2011.7 +/- 0.0 (jitter = 0.0)	7.260
10	images/sec: 2000.7 +/- 15.0 (jitter = 28.5)	7.199
20	images/sec: 2008.5 +/- 9.0 (jitter = 25.6)	7.196
30	images/sec: 2009.8 +/- 6.3 (jitter = 20.1)	7.226
40	images/sec: 1457.0 +/- 58.1 (jitter = 34.5)	7.201
50	images/sec: 1175.4 +/- 67.1 (jitter = 40.1)	7.223
60	images/sec: 1144.9 +/- 63.6 (jitter = 58.9)	7.232
70	images/sec: 963.7 +/- 62.9 (jitter = 74.9)	7.199
80	images/sec: 1029.2 +/- 55.4 (jitter = 74.7)	7.213
90	images/sec: 1087.4 +/- 49.7 (jitter = 77.9)	7.224
100	images/sec: 1056.5 +/- 51.9 (jitter = 87.1)	7.210
110	images/sec: 1100.6 +/- 47.9 (jitter = 91.9)	7.230
120	images/sec: 1048.3 +/- 49.0 (jitter = 110.1)	7.205
130	images/sec: 1088.0 +/- 45.6 (jitter = 112.5)	7.222
140	images/sec: 1032.2 +/- 46.6 (jitter = 117.4)	7.231
150	images/sec: 1067.8 +/- 43.8 (jitter = 116.4)	7.181
160	images/sec: 1025.0 +/- 44.4 (jitter = 118.7)	7.211
170	images/sec: 1055.2 +/- 41.9 (jitter = 115.1)	7.213
180	images/sec: 1016.3 +/- 41.6 (jitter = 116.1)	7.198
190	images/sec: 991.2 +/- 40.6 (jitter = 115.1)	7.204
200	images/sec: 1012.4 +/- 39.1 (jitter = 108.8)	7.202
210	images/sec: 1027.0 +/- 38.1 (jitter = 108.9)	7.215
220	images/sec: 1050.4 +/- 36.5 (jitter = 108.6)	7.227
230	images/sec: 1069.2 +/- 35.4 (jitter = 107.1)	7.209
240	images/sec: 1053.0 +/- 35.2 (jitter = 111.7)	7.206
250	images/sec: 1014.8 +/- 35.1 (jitter = 112.5)	7.213
260	images/sec: 1034.2 +/- 33.9 (jitter = 112.4)	7.201
270	images/sec: 1016.1 +/- 33.7 (jitter = 112.2)	7.206
280	images/sec: 1030.6 +/- 32.8 (jitter = 115.1)	7.221
290	images/sec: 1033.4 +/- 32.6 (jitter = 114.4)	7.224
300	images/sec: 1004.9 +/- 32.8 (jitter = 116.5)	7.224
310	images/sec: 1019.4 +/- 32.0 (jitter = 114.2)	7.212
320	images/sec: 1010.8 +/- 31.8 (jitter = 115.1)	7.197
330	images/sec: 1025.7 +/- 30.9 (jitter = 114.9)	7.214
340	images/sec: 1012.9 +/- 30.9 (jitter = 117.4)	7.218
350	images/sec: 1023.5 +/- 30.3 (jitter = 112.1)	7.229
360	images/sec: 1010.9 +/- 30.4 (jitter = 115.9)	7.204
370	images/sec: 1023.2 +/- 29.8 (jitter = 113.6)	7.211
380	images/sec: 1025.8 +/- 29.3 (jitter = 115.1)	7.192
390	images/sec: 1031.5 +/- 29.0 (jitter = 115.5)	7.193
400	images/sec: 1028.2 +/- 28.9 (jitter = 120.0)	7.201
410	images/sec: 1031.6 +/- 28.5 (jitter = 120.0)	7.212
420	images/sec: 1043.6 +/- 27.9 (jitter = 120.8)	7.204
430	images/sec: 1053.8 +/- 27.4 (jitter = 120.8)	7.219
440	images/sec: 1050.1 +/- 27.2 (jitter = 120.8)	7.200
450	images/sec: 1028.1 +/- 27.5 (jitter = 122.1)	7.201
460	images/sec: 1018.6 +/- 27.2 (jitter = 121.5)	7.194
470	images/sec: 1021.8 +/- 26.9 (jitter = 121.3)	7.215
480	images/sec: 1026.5 +/- 26.6 (jitter = 121.3)	7.194
490	images/sec: 1023.5 +/- 26.4 (jitter = 123.2)	7.207
500	images/sec: 1029.8 +/- 26.1 (jitter = 125.3)	7.208
510	images/sec: 1029.0 +/- 25.9 (jitter = 128.1)	7.217
520	images/sec: 1029.1 +/- 25.7 (jitter = 129.6)	7.212
530	images/sec: 1035.9 +/- 25.4 (jitter = 131.4)	7.196
540	images/sec: 1025.3 +/- 25.3 (jitter = 131.6)	7.242
550	images/sec: 1033.3 +/- 24.9 (jitter = 131.3)	7.199
560	images/sec: 1030.3 +/- 24.8 (jitter = 131.6)	7.195
570	images/sec: 1030.9 +/- 24.6 (jitter = 131.6)	7.193
580	images/sec: 1029.4 +/- 24.4 (jitter = 132.2)	7.218
590	images/sec: 1032.7 +/- 24.2 (jitter = 131.8)	7.217
600	images/sec: 1025.2 +/- 24.1 (jitter = 132.6)	7.218
610	images/sec: 1033.2 +/- 23.8 (jitter = 131.6)	7.203
620	images/sec: 1038.5 +/- 23.5 (jitter = 131.4)	7.207
630	images/sec: 1031.5 +/- 23.5 (jitter = 132.4)	7.204
640	images/sec: 1017.2 +/- 23.6 (jitter = 134.2)	7.203
650	images/sec: 1024.3 +/- 23.3 (jitter = 133.3)	7.213
660	images/sec: 1030.6 +/- 23.0 (jitter = 132.2)	7.208
670	images/sec: 1023.6 +/- 23.0 (jitter = 132.4)	7.197
680	images/sec: 1030.8 +/- 22.7 (jitter = 130.4)	7.198
690	images/sec: 1024.0 +/- 22.6 (jitter = 130.4)	7.198
700	images/sec: 1031.2 +/- 22.3 (jitter = 129.4)	7.193
