TensorFlow:  1.13
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Num batches: 1000
Num epochs:  0.05
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Step	Img/sec	total_loss
1	images/sec: 1909.1 +/- 0.0 (jitter = 0.0)	7.251
10	images/sec: 1869.3 +/- 12.3 (jitter = 45.6)	7.245
20	images/sec: 1854.6 +/- 10.4 (jitter = 46.9)	7.215
30	images/sec: 1845.5 +/- 11.9 (jitter = 41.2)	7.227
40	images/sec: 1852.9 +/- 9.3 (jitter = 35.9)	7.219
50	images/sec: 1855.0 +/- 8.1 (jitter = 32.8)	7.239
60	images/sec: 1861.2 +/- 7.0 (jitter = 39.2)	7.227
70	images/sec: 1861.7 +/- 6.2 (jitter = 35.9)	7.192
80	images/sec: 1861.4 +/- 5.6 (jitter = 35.9)	7.219
90	images/sec: 1860.6 +/- 5.1 (jitter = 31.3)	7.217
100	images/sec: 1860.5 +/- 4.9 (jitter = 32.1)	7.221
110	images/sec: 1859.5 +/- 4.7 (jitter = 30.5)	7.243
120	images/sec: 1859.8 +/- 4.5 (jitter = 30.5)	7.205
130	images/sec: 1859.9 +/- 4.2 (jitter = 26.4)	7.226
140	images/sec: 1859.0 +/- 4.0 (jitter = 28.4)	7.235
150	images/sec: 1860.0 +/- 3.8 (jitter = 29.5)	7.200
160	images/sec: 1859.3 +/- 3.5 (jitter = 22.8)	7.208
170	images/sec: 1857.9 +/- 3.4 (jitter = 24.6)	7.207
180	images/sec: 1857.3 +/- 3.3 (jitter = 23.8)	7.213
190	images/sec: 1857.9 +/- 3.1 (jitter = 22.5)	7.211
200	images/sec: 1857.2 +/- 3.0 (jitter = 22.6)	7.213
210	images/sec: 1857.8 +/- 2.9 (jitter = 22.4)	7.202
220	images/sec: 1857.8 +/- 2.8 (jitter = 22.6)	7.203
230	images/sec: 1857.2 +/- 2.9 (jitter = 22.6)	7.207
240	images/sec: 1857.1 +/- 2.8 (jitter = 22.5)	7.214
250	images/sec: 1858.2 +/- 2.8 (jitter = 23.3)	7.220
260	images/sec: 1857.6 +/- 2.7 (jitter = 23.2)	7.201
270	images/sec: 1857.0 +/- 2.7 (jitter = 23.9)	7.220
280	images/sec: 1854.8 +/- 2.9 (jitter = 24.4)	7.211
290	images/sec: 1854.1 +/- 2.8 (jitter = 24.1)	7.223
300	images/sec: 1853.3 +/- 2.8 (jitter = 24.7)	7.209
