TensorFlow:  1.13
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Num batches: 1000
Num epochs:  0.05
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Step	Img/sec	total_loss
1	images/sec: 1985.3 +/- 0.0 (jitter = 0.0)	7.263
10	images/sec: 1986.7 +/- 10.5 (jitter = 29.8)	7.266
20	images/sec: 1993.9 +/- 11.5 (jitter = 31.0)	7.206
30	images/sec: 2003.8 +/- 8.8 (jitter = 32.3)	7.224
40	images/sec: 2001.3 +/- 7.4 (jitter = 31.0)	7.204
50	images/sec: 2004.9 +/- 8.2 (jitter = 29.5)	7.253
60	images/sec: 2008.1 +/- 7.4 (jitter = 31.0)	7.231
70	images/sec: 2002.6 +/- 6.8 (jitter = 33.1)	7.205
80	images/sec: 1999.8 +/- 6.4 (jitter = 29.5)	7.210
90	images/sec: 1997.6 +/- 5.9 (jitter = 28.4)	7.199
100	images/sec: 1992.3 +/- 7.0 (jitter = 27.0)	7.213
110	images/sec: 1992.2 +/- 6.4 (jitter = 26.0)	7.239
120	images/sec: 1992.7 +/- 6.0 (jitter = 26.1)	7.208
130	images/sec: 1993.5 +/- 5.6 (jitter = 26.8)	7.214
140	images/sec: 1994.3 +/- 5.2 (jitter = 25.5)	7.187
150	images/sec: 1995.1 +/- 5.0 (jitter = 24.5)	7.202
160	images/sec: 1995.4 +/- 4.8 (jitter = 26.7)	7.220
170	images/sec: 1995.2 +/- 4.6 (jitter = 28.1)	7.215
180	images/sec: 1995.7 +/- 4.5 (jitter = 28.5)	7.220
190	images/sec: 1995.7 +/- 4.4 (jitter = 29.2)	7.200
200	images/sec: 1996.0 +/- 4.2 (jitter = 28.2)	7.201
210	images/sec: 1996.9 +/- 4.1 (jitter = 28.2)	7.205
220	images/sec: 1997.9 +/- 3.9 (jitter = 28.0)	7.232
230	images/sec: 1998.0 +/- 3.8 (jitter = 28.5)	7.203
240	images/sec: 1997.6 +/- 3.7 (jitter = 29.3)	7.209
250	images/sec: 1997.7 +/- 3.7 (jitter = 29.1)	7.215
260	images/sec: 1997.2 +/- 3.6 (jitter = 28.0)	7.192
270	images/sec: 1997.0 +/- 3.5 (jitter = 28.2)	7.218
280	images/sec: 1997.2 +/- 3.5 (jitter = 29.1)	7.216
290	images/sec: 1997.9 +/- 3.4 (jitter = 29.1)	7.212
300	images/sec: 1998.2 +/- 3.4 (jitter = 29.6)	7.219
310	images/sec: 1998.2 +/- 3.4 (jitter = 29.6)	7.211
320	images/sec: 1998.8 +/- 3.3 (jitter = 30.1)	7.202
330	images/sec: 1998.5 +/- 3.2 (jitter = 28.8)	7.212
340	images/sec: 1998.2 +/- 3.2 (jitter = 28.5)	7.216
350	images/sec: 1998.7 +/- 3.1 (jitter = 28.6)	7.200
360	images/sec: 1998.5 +/- 3.0 (jitter = 28.2)	7.212
370	images/sec: 1996.9 +/- 3.1 (jitter = 28.1)	7.207
380	images/sec: 1996.4 +/- 3.0 (jitter = 27.9)	7.190
390	images/sec: 1996.3 +/- 3.0 (jitter = 28.4)	7.202
400	images/sec: 1996.7 +/- 3.0 (jitter = 29.0)	7.206
410	images/sec: 1996.9 +/- 3.0 (jitter = 29.0)	7.203
420	images/sec: 1995.9 +/- 2.9 (jitter = 29.7)	7.203
430	images/sec: 1996.3 +/- 2.9 (jitter = 29.5)	7.206
440	images/sec: 1995.9 +/- 2.9 (jitter = 29.5)	7.198
450	images/sec: 1995.2 +/- 2.9 (jitter = 29.6)	7.206
460	images/sec: 1995.4 +/- 2.8 (jitter = 29.3)	7.199
470	images/sec: 1994.8 +/- 2.8 (jitter = 29.4)	7.213
480	images/sec: 1994.7 +/- 2.8 (jitter = 29.6)	7.207
490	images/sec: 1994.4 +/- 2.7 (jitter = 28.5)	7.207
500	images/sec: 1994.2 +/- 2.7 (jitter = 28.6)	7.200
510	images/sec: 1994.1 +/- 2.6 (jitter = 27.9)	7.210
520	images/sec: 1993.4 +/- 2.7 (jitter = 27.9)	7.210
530	images/sec: 1993.2 +/- 2.6 (jitter = 27.7)	7.198
540	images/sec: 1993.2 +/- 2.6 (jitter = 27.4)	7.224
550	images/sec: 1993.6 +/- 2.6 (jitter = 27.7)	7.212
560	images/sec: 1993.6 +/- 2.5 (jitter = 27.0)	7.200
570	images/sec: 1993.2 +/- 2.5 (jitter = 26.9)	7.208
580	images/sec: 1993.3 +/- 2.5 (jitter = 27.0)	7.204
590	images/sec: 1993.3 +/- 2.4 (jitter = 27.1)	7.212
600	images/sec: 1993.1 +/- 2.4 (jitter = 26.7)	7.215
610	images/sec: 1993.3 +/- 2.4 (jitter = 27.2)	7.222
620	images/sec: 1993.3 +/- 2.4 (jitter = 26.8)	7.208
630	images/sec: 1993.0 +/- 2.3 (jitter = 26.5)	7.206
640	images/sec: 1992.7 +/- 2.3 (jitter = 27.2)	7.202
650	images/sec: 1992.7 +/- 2.3 (jitter = 27.5)	7.206
660	images/sec: 1992.6 +/- 2.3 (jitter = 27.2)	7.214
670	images/sec: 1992.4 +/- 2.2 (jitter = 27.0)	7.202
680	images/sec: 1992.1 +/- 2.2 (jitter = 26.8)	7.202
690	images/sec: 1991.9 +/- 2.2 (jitter = 27.1)	7.200
700	images/sec: 1991.8 +/- 2.2 (jitter = 26.4)	7.193
710	images/sec: 1991.8 +/- 2.1 (jitter = 26.4)	7.210
720	images/sec: 1991.3 +/- 2.1 (jitter = 26.2)	7.201
730	images/sec: 1991.2 +/- 2.1 (jitter = 26.1)	7.210
740	images/sec: 1991.4 +/- 2.1 (jitter = 26.1)	7.208
750	images/sec: 1991.3 +/- 2.1 (jitter = 26.2)	7.209
760	images/sec: 1991.2 +/- 2.0 (jitter = 25.7)	7.200
770	images/sec: 1990.6 +/- 2.1 (jitter = 25.9)	7.204
780	images/sec: 1990.4 +/- 2.1 (jitter = 26.0)	7.201
790	images/sec: 1990.4 +/- 2.0 (jitter = 26.2)	7.203
800	images/sec: 1990.3 +/- 2.0 (jitter = 26.7)	7.195
810	images/sec: 1990.1 +/- 2.0 (jitter = 26.4)	7.191
820	images/sec: 1990.0 +/- 2.0 (jitter = 26.2)	7.204
830	images/sec: 1989.8 +/- 2.0 (jitter = 26.1)	7.222
840	images/sec: 1989.7 +/- 1.9 (jitter = 26.1)	7.208
850	images/sec: 1989.5 +/- 1.9 (jitter = 26.6)	7.207
860	images/sec: 1989.6 +/- 1.9 (jitter = 26.6)	7.192
870	images/sec: 1989.8 +/- 1.9 (jitter = 26.7)	7.202
880	images/sec: 1989.1 +/- 1.9 (jitter = 26.8)	7.201
