TensorFlow:  1.13
Model:       inception3
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  32 global
             32 per device
Num batches: 1000
Num epochs:  0.02
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Major Loop Start:Thu Aug 29 23:26:44 2019
Step	Img/sec	total_loss
850	images/sec: 146.0 +/- 0.1 (jitter = 1.5)	7.188
860	images/sec: 146.0 +/- 0.1 (jitter = 1.5)	7.236
870	images/sec: 146.0 +/- 0.1 (jitter = 1.5)	7.300
880	images/sec: 146.0 +/- 0.1 (jitter = 1.5)	7.282
890	images/sec: 146.0 +/- 0.1 (jitter = 1.5)	7.203
900	images/sec: 146.0 +/- 0.1 (jitter = 1.4)	7.345
910	images/sec: 146.0 +/- 0.1 (jitter = 1.4)	7.276
920	images/sec: 146.0 +/- 0.1 (jitter = 1.4)	7.284
930	images/sec: 145.9 +/- 0.1 (jitter = 1.5)	7.266
940	images/sec: 145.9 +/- 0.1 (jitter = 1.5)	7.212
950	images/sec: 145.9 +/- 0.1 (jitter = 1.5)	7.237
960	images/sec: 145.9 +/- 0.1 (jitter = 1.4)	7.352
970	images/sec: 145.9 +/- 0.1 (jitter = 1.4)	7.284
980	images/sec: 145.9 +/- 0.1 (jitter = 1.4)	7.313
990	images/sec: 145.9 +/- 0.1 (jitter = 1.4)	7.357
1000	images/sec: 145.9 +/- 0.1 (jitter = 1.4)	7.266
Major Loop End:Thu Aug 29 23:30:24 2019
----------------------------------------------------------------
total images/sec: 145.88
----------------------------------------------------------------
