TensorFlow:  1.13
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             128 per device
Num batches: 1000
Num epochs:  0.10
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Step	Img/sec	total_loss
1	images/sec: 2343.1 +/- 0.0 (jitter = 0.0)	7.234
10	images/sec: 2299.1 +/- 38.5 (jitter = 45.0)	7.237
20	images/sec: 2310.3 +/- 23.2 (jitter = 47.4)	7.231
30	images/sec: 2325.8 +/- 18.3 (jitter = 54.5)	7.219
40	images/sec: 2328.4 +/- 15.6 (jitter = 66.0)	7.226
50	images/sec: 2337.7 +/- 12.9 (jitter = 51.5)	7.223
60	images/sec: 2336.8 +/- 11.5 (jitter = 48.2)	7.231
70	images/sec: 2337.4 +/- 10.5 (jitter = 47.5)	7.219
80	images/sec: 2338.2 +/- 9.7 (jitter = 46.4)	7.217
90	images/sec: 2341.9 +/- 8.8 (jitter = 45.1)	7.213
100	images/sec: 2342.7 +/- 8.0 (jitter = 44.0)	7.217
110	images/sec: 2346.3 +/- 7.4 (jitter = 41.7)	7.193
120	images/sec: 2344.5 +/- 7.3 (jitter = 43.5)	7.207
130	images/sec: 2343.1 +/- 7.0 (jitter = 44.0)	7.233
140	images/sec: 2342.6 +/- 6.7 (jitter = 44.0)	7.218
150	images/sec: 2341.1 +/- 6.5 (jitter = 44.0)	7.222
160	images/sec: 2343.4 +/- 6.1 (jitter = 42.1)	7.208
170	images/sec: 2342.3 +/- 6.0 (jitter = 42.1)	7.198
180	images/sec: 2341.1 +/- 5.8 (jitter = 42.9)	7.212
190	images/sec: 2341.9 +/- 5.8 (jitter = 45.8)	7.210
200	images/sec: 2343.1 +/- 5.7 (jitter = 46.9)	7.208
210	images/sec: 2341.9 +/- 5.5 (jitter = 45.9)	7.215
220	images/sec: 2341.5 +/- 5.4 (jitter = 46.2)	7.224
230	images/sec: 2340.5 +/- 5.3 (jitter = 45.8)	7.210
240	images/sec: 2339.3 +/- 5.2 (jitter = 44.9)	7.203
250	images/sec: 2338.5 +/- 5.1 (jitter = 44.9)	7.196
260	images/sec: 2339.3 +/- 4.9 (jitter = 43.8)	7.220
