TensorFlow:  1.13
Model:       inception3
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Num batches: 10000
Num epochs:  0.50
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Major Loop Start:Wed Sep  4 11:51:16 2019
Step	Img/sec	total_loss
1	images/sec: 37.9 +/- 0.0 (jitter = 0.0)	7.378
10	images/sec: 38.0 +/- 0.0 (jitter = 0.0)	7.295
20	images/sec: 38.0 +/- 0.0 (jitter = 0.1)	7.359
30	images/sec: 37.9 +/- 0.0 (jitter = 0.1)	7.342
40	images/sec: 41.6 +/- 5.5 (jitter = 0.2)	7.312
50	images/sec: 48.6 +/- 7.2 (jitter = 0.5)	7.296
60	images/sec: 54.7 +/- 7.0 (jitter = 0.8)	7.417
70	images/sec: 60.2 +/- 6.7 (jitter = 40.5)	7.292
80	images/sec: 65.1 +/- 6.2 (jitter = 12.0)	7.301
90	images/sec: 69.4 +/- 5.8 (jitter = 9.5)	7.339
100	images/sec: 73.4 +/- 5.4 (jitter = 8.1)	7.277
110	images/sec: 77.0 +/- 5.0 (jitter = 5.6)	7.277
120	images/sec: 80.3 +/- 4.7 (jitter = 5.0)	7.255
130	images/sec: 83.3 +/- 4.4 (jitter = 4.4)	7.390
140	images/sec: 86.0 +/- 4.1 (jitter = 3.9)	7.276
150	images/sec: 88.6 +/- 3.9 (jitter = 3.6)	7.364
160	images/sec: 90.9 +/- 3.7 (jitter = 3.4)	7.297
170	images/sec: 93.1 +/- 3.5 (jitter = 3.3)	7.359
180	images/sec: 95.1 +/- 3.3 (jitter = 3.1)	7.243
190	images/sec: 96.9 +/- 3.2 (jitter = 3.0)	7.338
200	images/sec: 98.7 +/- 3.0 (jitter = 2.7)	7.372
210	images/sec: 100.4 +/- 2.9 (jitter = 2.4)	7.357
220	images/sec: 101.9 +/- 2.8 (jitter = 2.1)	7.259
230	images/sec: 103.2 +/- 2.7 (jitter = 2.3)	7.309
240	images/sec: 104.4 +/- 2.6 (jitter = 2.6)	7.285
250	images/sec: 105.4 +/- 2.5 (jitter = 3.1)	7.320
260	images/sec: 106.4 +/- 2.4 (jitter = 3.2)	7.283
270	images/sec: 107.4 +/- 2.3 (jitter = 3.6)	7.361
280	images/sec: 108.3 +/- 2.2 (jitter = 4.2)	7.262
290	images/sec: 109.2 +/- 2.1 (jitter = 4.4)	7.301
300	images/sec: 110.0 +/- 2.1 (jitter = 4.9)	7.275
310	images/sec: 110.7 +/- 2.0 (jitter = 5.6)	7.298
320	images/sec: 111.5 +/- 1.9 (jitter = 6.6)	7.307
330	images/sec: 112.2 +/- 1.9 (jitter = 7.5)	7.285
340	images/sec: 112.9 +/- 1.8 (jitter = 7.5)	7.428
350	images/sec: 113.5 +/- 1.8 (jitter = 7.6)	7.326
360	images/sec: 114.1 +/- 1.7 (jitter = 7.8)	7.315
370	images/sec: 114.8 +/- 1.7 (jitter = 8.6)	7.326
380	images/sec: 115.3 +/- 1.6 (jitter = 9.5)	7.278
390	images/sec: 115.9 +/- 1.6 (jitter = 9.1)	7.337
400	images/sec: 116.4 +/- 1.6 (jitter = 8.9)	7.272
410	images/sec: 116.2 +/- 1.5 (jitter = 9.2)	7.340
420	images/sec: 116.0 +/- 1.5 (jitter = 9.9)	7.288
430	images/sec: 115.8 +/- 1.5 (jitter = 10.3)	7.300
440	images/sec: 115.6 +/- 1.5 (jitter = 10.6)	7.296
450	images/sec: 115.5 +/- 1.4 (jitter = 11.1)	7.267
460	images/sec: 115.3 +/- 1.4 (jitter = 11.7)	7.261
470	images/sec: 115.1 +/- 1.4 (jitter = 12.0)	7.278
480	images/sec: 115.0 +/- 1.4 (jitter = 12.3)	7.270
490	images/sec: 114.8 +/- 1.4 (jitter = 12.7)	7.289
500	images/sec: 114.7 +/- 1.3 (jitter = 13.3)	7.333
510	images/sec: 114.6 +/- 1.3 (jitter = 13.6)	7.251
520	images/sec: 114.4 +/- 1.3 (jitter = 13.8)	7.280
530	images/sec: 114.3 +/- 1.3 (jitter = 14.0)	7.292
540	images/sec: 113.7 +/- 1.3 (jitter = 14.2)	7.268
550	images/sec: 112.6 +/- 1.3 (jitter = 14.4)	7.230
560	images/sec: 111.6 +/- 1.3 (jitter = 15.0)	7.295
570	images/sec: 110.6 +/- 1.3 (jitter = 15.4)	7.270
580	images/sec: 109.6 +/- 1.3 (jitter = 15.7)	7.274
590	images/sec: 108.8 +/- 1.3 (jitter = 16.3)	7.228
600	images/sec: 107.9 +/- 1.3 (jitter = 16.9)	7.209
610	images/sec: 107.1 +/- 1.3 (jitter = 17.3)	7.299
620	images/sec: 106.3 +/- 1.3 (jitter = 17.6)	7.285
630	images/sec: 105.1 +/- 1.3 (jitter = 18.1)	7.305
640	images/sec: 102.2 +/- 1.4 (jitter = 18.7)	7.304
650	images/sec: 99.5 +/- 1.4 (jitter = 19.2)	7.299
660	images/sec: 97.1 +/- 1.5 (jitter = 19.7)	7.230
670	images/sec: 94.8 +/- 1.5 (jitter = 20.4)	7.303
