TensorFlow:  1.13
Model:       googlenet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Num batches: 1000
Num epochs:  0.05
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Step	Img/sec	total_loss
1	images/sec: 478.5 +/- 0.0 (jitter = 0.0)	7.069
10	images/sec: 482.0 +/- 0.7 (jitter = 1.8)	7.070
20	images/sec: 481.8 +/- 0.4 (jitter = 1.7)	7.071
30	images/sec: 481.7 +/- 0.4 (jitter = 1.6)	7.070
40	images/sec: 481.4 +/- 0.4 (jitter = 1.5)	7.070
50	images/sec: 481.6 +/- 0.3 (jitter = 1.2)	7.070
60	images/sec: 481.5 +/- 0.3 (jitter = 1.4)	7.069
70	images/sec: 481.5 +/- 0.3 (jitter = 1.5)	7.070
80	images/sec: 481.3 +/- 0.3 (jitter = 1.4)	7.070
90	images/sec: 481.4 +/- 0.3 (jitter = 1.5)	7.070
100	images/sec: 480.6 +/- 0.5 (jitter = 1.6)	7.070
110	images/sec: 479.9 +/- 0.6 (jitter = 1.7)	7.071
120	images/sec: 479.9 +/- 0.6 (jitter = 1.7)	7.070
130	images/sec: 479.7 +/- 0.6 (jitter = 1.7)	7.069
140	images/sec: 479.7 +/- 0.5 (jitter = 1.9)	7.070
150	images/sec: 479.8 +/- 0.5 (jitter = 1.9)	7.071
160	images/sec: 479.8 +/- 0.5 (jitter = 1.8)	7.071
170	images/sec: 479.9 +/- 0.5 (jitter = 1.8)	7.071
180	images/sec: 480.0 +/- 0.5 (jitter = 1.8)	7.070
190	images/sec: 479.9 +/- 0.4 (jitter = 1.7)	7.070
200	images/sec: 480.0 +/- 0.4 (jitter = 1.7)	7.071
210	images/sec: 480.1 +/- 0.4 (jitter = 1.7)	7.070
220	images/sec: 480.2 +/- 0.4 (jitter = 1.7)	7.070
230	images/sec: 480.3 +/- 0.4 (jitter = 1.8)	7.070
240	images/sec: 480.1 +/- 0.4 (jitter = 1.8)	7.071
250	images/sec: 480.2 +/- 0.4 (jitter = 1.8)	7.070
260	images/sec: 480.2 +/- 0.4 (jitter = 1.8)	7.071
270	images/sec: 480.3 +/- 0.4 (jitter = 1.8)	7.068
280	images/sec: 480.0 +/- 0.4 (jitter = 1.8)	7.069
290	images/sec: 480.1 +/- 0.4 (jitter = 1.8)	7.071
300	images/sec: 480.1 +/- 0.4 (jitter = 1.8)	7.070
310	images/sec: 480.2 +/- 0.3 (jitter = 1.7)	7.070
320	images/sec: 480.2 +/- 0.3 (jitter = 1.7)	7.070
330	images/sec: 480.2 +/- 0.3 (jitter = 1.7)	7.069
340	images/sec: 480.3 +/- 0.3 (jitter = 1.7)	7.070
350	images/sec: 480.3 +/- 0.3 (jitter = 1.7)	7.070
360	images/sec: 480.4 +/- 0.3 (jitter = 1.6)	7.070
370	images/sec: 480.4 +/- 0.3 (jitter = 1.6)	7.069
380	images/sec: 480.4 +/- 0.3 (jitter = 1.6)	7.069
390	images/sec: 480.4 +/- 0.3 (jitter = 1.5)	7.070
400	images/sec: 480.4 +/- 0.3 (jitter = 1.5)	7.070
