TensorFlow:  1.13
Model:       googlenet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Num batches: 1000
Num epochs:  0.05
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Step	Img/sec	total_loss
1	images/sec: 330.8 +/- 0.0 (jitter = 0.0)	7.069
10	images/sec: 329.5 +/- 0.3 (jitter = 0.6)	7.070
20	images/sec: 329.7 +/- 0.2 (jitter = 0.8)	7.071
30	images/sec: 329.4 +/- 0.4 (jitter = 1.3)	7.070
40	images/sec: 329.7 +/- 0.3 (jitter = 1.2)	7.069
50	images/sec: 329.7 +/- 0.3 (jitter = 1.2)	7.070
60	images/sec: 329.8 +/- 0.2 (jitter = 1.2)	7.070
70	images/sec: 329.8 +/- 0.2 (jitter = 1.2)	7.069
80	images/sec: 328.8 +/- 0.4 (jitter = 1.3)	7.070
90	images/sec: 328.8 +/- 0.4 (jitter = 1.3)	7.070
100	images/sec: 328.9 +/- 0.4 (jitter = 1.4)	7.070
110	images/sec: 329.0 +/- 0.3 (jitter = 1.4)	7.071
120	images/sec: 328.9 +/- 0.3 (jitter = 1.5)	7.070
130	images/sec: 329.0 +/- 0.3 (jitter = 1.4)	7.069
140	images/sec: 328.8 +/- 0.3 (jitter = 1.5)	7.070
150	images/sec: 328.8 +/- 0.3 (jitter = 1.4)	7.071
160	images/sec: 328.8 +/- 0.3 (jitter = 1.4)	7.071
170	images/sec: 328.9 +/- 0.3 (jitter = 1.4)	7.071
180	images/sec: 329.0 +/- 0.3 (jitter = 1.3)	7.070
190	images/sec: 329.0 +/- 0.2 (jitter = 1.3)	7.070
200	images/sec: 329.0 +/- 0.2 (jitter = 1.4)	7.071
210	images/sec: 329.0 +/- 0.2 (jitter = 1.4)	7.069
220	images/sec: 329.0 +/- 0.2 (jitter = 1.3)	7.070
