TensorFlow:  1.13
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Num batches: 1000
Num epochs:  0.05
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Step	Img/sec	total_loss
1	images/sec: 1437.9 +/- 0.0 (jitter = 0.0)	7.248
10	images/sec: 1448.8 +/- 15.1 (jitter = 16.6)	7.213
20	images/sec: 1452.6 +/- 7.9 (jitter = 17.9)	7.196
30	images/sec: 1441.8 +/- 10.5 (jitter = 19.2)	7.239
40	images/sec: 1437.3 +/- 9.2 (jitter = 19.8)	7.213
50	images/sec: 1442.5 +/- 8.1 (jitter = 22.0)	7.238
60	images/sec: 1444.4 +/- 6.9 (jitter = 22.7)	7.217
70	images/sec: 1447.1 +/- 6.0 (jitter = 22.0)	7.201
80	images/sec: 1449.4 +/- 5.4 (jitter = 21.0)	7.212
90	images/sec: 1450.7 +/- 5.0 (jitter = 21.4)	7.223
100	images/sec: 1452.3 +/- 4.6 (jitter = 20.3)	7.223
110	images/sec: 1452.4 +/- 4.2 (jitter = 21.4)	7.236
120	images/sec: 1453.2 +/- 3.9 (jitter = 21.4)	7.207
130	images/sec: 1451.6 +/- 4.0 (jitter = 22.4)	7.235
140	images/sec: 1451.8 +/- 3.7 (jitter = 23.4)	7.213
150	images/sec: 1452.7 +/- 3.5 (jitter = 23.5)	7.183
160	images/sec: 1453.5 +/- 3.4 (jitter = 23.4)	7.202
170	images/sec: 1454.4 +/- 3.2 (jitter = 23.9)	7.213
180	images/sec: 1455.5 +/- 3.1 (jitter = 23.5)	7.215
190	images/sec: 1455.7 +/- 3.1 (jitter = 22.5)	7.208
200	images/sec: 1456.2 +/- 3.0 (jitter = 22.8)	7.213
210	images/sec: 1457.4 +/- 2.9 (jitter = 22.7)	7.204
220	images/sec: 1457.9 +/- 2.8 (jitter = 23.0)	7.208
230	images/sec: 1458.6 +/- 2.7 (jitter = 22.5)	7.218
240	images/sec: 1458.8 +/- 2.8 (jitter = 22.7)	7.210
250	images/sec: 1459.8 +/- 2.7 (jitter = 23.2)	7.224
260	images/sec: 1460.5 +/- 2.6 (jitter = 23.1)	7.204
270	images/sec: 1460.7 +/- 2.6 (jitter = 23.0)	7.210
280	images/sec: 1460.8 +/- 2.5 (jitter = 23.3)	7.210
290	images/sec: 1460.4 +/- 2.4 (jitter = 23.3)	7.209
300	images/sec: 1460.8 +/- 2.4 (jitter = 23.1)	7.224
310	images/sec: 1460.7 +/- 2.4 (jitter = 23.3)	7.211
320	images/sec: 1461.0 +/- 2.3 (jitter = 23.7)	7.206
330	images/sec: 1460.9 +/- 2.3 (jitter = 23.6)	7.206
340	images/sec: 1461.7 +/- 2.2 (jitter = 24.3)	7.202
350	images/sec: 1462.1 +/- 2.2 (jitter = 23.8)	7.217
360	images/sec: 1461.6 +/- 2.2 (jitter = 23.7)	7.189
370	images/sec: 1461.6 +/- 2.2 (jitter = 23.7)	7.208
380	images/sec: 1462.2 +/- 2.2 (jitter = 23.8)	7.186
390	images/sec: 1461.8 +/- 2.2 (jitter = 23.9)	7.195
400	images/sec: 1461.9 +/- 2.2 (jitter = 24.0)	7.211
410	images/sec: 1462.8 +/- 2.2 (jitter = 24.0)	7.213
420	images/sec: 1463.1 +/- 2.1 (jitter = 23.7)	7.183
430	images/sec: 1463.1 +/- 2.1 (jitter = 23.6)	7.210
440	images/sec: 1462.2 +/- 2.1 (jitter = 23.6)	7.205
450	images/sec: 1461.6 +/- 2.1 (jitter = 24.1)	7.197
460	images/sec: 1461.4 +/- 2.1 (jitter = 24.4)	7.210
470	images/sec: 1461.5 +/- 2.1 (jitter = 24.9)	7.214
480	images/sec: 1461.9 +/- 2.1 (jitter = 24.4)	7.183
490	images/sec: 1462.2 +/- 2.0 (jitter = 24.4)	7.205
500	images/sec: 1462.4 +/- 2.0 (jitter = 24.0)	7.199
510	images/sec: 1461.9 +/- 2.0 (jitter = 24.4)	7.209
520	images/sec: 1462.2 +/- 2.0 (jitter = 24.3)	7.214
530	images/sec: 1462.0 +/- 2.0 (jitter = 24.3)	7.198
540	images/sec: 1462.1 +/- 1.9 (jitter = 24.4)	7.227
550	images/sec: 1462.3 +/- 1.9 (jitter = 24.3)	7.202
560	images/sec: 1461.6 +/- 2.0 (jitter = 24.5)	7.193
570	images/sec: 1461.1 +/- 2.0 (jitter = 24.8)	7.197
580	images/sec: 1460.5 +/- 1.9 (jitter = 25.3)	7.226
590	images/sec: 1460.2 +/- 1.9 (jitter = 25.8)	7.216
600	images/sec: 1459.5 +/- 1.9 (jitter = 25.7)	7.221
610	images/sec: 1459.6 +/- 1.9 (jitter = 25.7)	7.213
620	images/sec: 1458.6 +/- 2.0 (jitter = 25.9)	7.221
630	images/sec: 1457.9 +/- 2.0 (jitter = 26.0)	7.201
640	images/sec: 1457.8 +/- 1.9 (jitter = 26.6)	7.203
650	images/sec: 1457.9 +/- 1.9 (jitter = 27.1)	7.210
660	images/sec: 1457.6 +/- 1.9 (jitter = 27.5)	7.213
670	images/sec: 1457.3 +/- 1.9 (jitter = 28.0)	7.206
680	images/sec: 1456.8 +/- 1.9 (jitter = 28.6)	7.199
690	images/sec: 1456.7 +/- 1.9 (jitter = 28.5)	7.204
700	images/sec: 1456.5 +/- 1.8 (jitter = 28.9)	7.192
710	images/sec: 1455.9 +/- 1.9 (jitter = 29.0)	7.196
720	images/sec: 1455.6 +/- 1.8 (jitter = 29.3)	7.211
730	images/sec: 1455.5 +/- 1.8 (jitter = 29.2)	7.213
740	images/sec: 1455.2 +/- 1.8 (jitter = 29.3)	7.205
750	images/sec: 1455.2 +/- 1.8 (jitter = 29.7)	7.204
760	images/sec: 1455.0 +/- 1.8 (jitter = 30.0)	7.204
770	images/sec: 1455.0 +/- 1.8 (jitter = 30.2)	7.214
780	images/sec: 1454.8 +/- 1.7 (jitter = 29.9)	7.209
790	images/sec: 1454.6 +/- 1.7 (jitter = 29.7)	7.200
800	images/sec: 1454.3 +/- 1.7 (jitter = 29.7)	7.200
810	images/sec: 1454.1 +/- 1.7 (jitter = 29.2)	7.196
820	images/sec: 1454.1 +/- 1.7 (jitter = 29.3)	7.215
830	images/sec: 1454.1 +/- 1.7 (jitter = 29.1)	7.216
840	images/sec: 1454.0 +/- 1.7 (jitter = 29.0)	7.203
850	images/sec: 1453.9 +/- 1.6 (jitter = 28.9)	7.209
860	images/sec: 1453.9 +/- 1.6 (jitter = 28.8)	7.201
870	images/sec: 1453.7 +/- 1.6 (jitter = 28.8)	7.196
880	images/sec: 1453.2 +/- 1.6 (jitter = 28.4)	7.202
890	images/sec: 1453.1 +/- 1.6 (jitter = 28.5)	7.205
900	images/sec: 1453.0 +/- 1.6 (jitter = 28.8)	7.197
910	images/sec: 1452.8 +/- 1.6 (jitter = 28.6)	7.208
920	images/sec: 1452.8 +/- 1.6 (jitter = 28.4)	7.216
930	images/sec: 1452.6 +/- 1.6 (jitter = 28.4)	7.222
940	images/sec: 1452.4 +/- 1.5 (jitter = 28.7)	7.202
950	images/sec: 1452.1 +/- 1.5 (jitter = 29.1)	7.206
960	images/sec: 1452.0 +/- 1.5 (jitter = 29.0)	7.211
970	images/sec: 1451.6 +/- 1.5 (jitter = 29.1)	7.205
980	images/sec: 1451.4 +/- 1.5 (jitter = 29.1)	7.207
990	images/sec: 1451.4 +/- 1.5 (jitter = 29.4)	7.212
1000	images/sec: 1451.2 +/- 1.5 (jitter = 29.1)	7.214
----------------------------------------------------------------
total images/sec: 1448.48
----------------------------------------------------------------
