TensorFlow:  1.13
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Num batches: 1000
Num epochs:  0.05
Devices:     ['/gpu:0']
NUMA bind:   False
Data format: NCHW
Optimizer:   sgd
Variables:   parameter_server
==========
Generating training model
Initializing graph
Running warm up
Done warm up
Step	Img/sec	total_loss
1	images/sec: 1189.4 +/- 0.0 (jitter = 0.0)	7.246
10	images/sec: 1193.2 +/- 4.1 (jitter = 7.2)	7.249
20	images/sec: 1191.9 +/- 3.7 (jitter = 15.8)	7.200
30	images/sec: 1192.5 +/- 3.2 (jitter = 18.2)	7.224
40	images/sec: 1191.0 +/- 3.3 (jitter = 17.3)	7.210
50	images/sec: 1190.5 +/- 2.8 (jitter = 17.5)	7.237
60	images/sec: 1188.5 +/- 3.4 (jitter = 16.6)	7.226
70	images/sec: 1188.3 +/- 3.0 (jitter = 13.9)	7.191
80	images/sec: 1189.9 +/- 2.8 (jitter = 15.3)	7.220
90	images/sec: 1190.7 +/- 2.5 (jitter = 12.6)	7.199
100	images/sec: 1189.2 +/- 2.6 (jitter = 15.3)	7.203
110	images/sec: 1189.5 +/- 2.4 (jitter = 15.3)	7.240
120	images/sec: 1190.1 +/- 2.3 (jitter = 15.3)	7.210
130	images/sec: 1190.4 +/- 2.2 (jitter = 16.3)	7.231
140	images/sec: 1190.2 +/- 2.2 (jitter = 16.6)	7.222
150	images/sec: 1190.9 +/- 2.1 (jitter = 17.1)	7.196
160	images/sec: 1190.4 +/- 2.0 (jitter = 17.1)	7.226
170	images/sec: 1190.2 +/- 1.9 (jitter = 18.1)	7.206
180	images/sec: 1190.6 +/- 1.9 (jitter = 17.1)	7.209
190	images/sec: 1190.5 +/- 1.8 (jitter = 17.0)	7.226
200	images/sec: 1190.5 +/- 1.7 (jitter = 17.0)	7.199
210	images/sec: 1190.5 +/- 1.7 (jitter = 17.1)	7.201
220	images/sec: 1191.0 +/- 1.6 (jitter = 17.3)	7.227
230	images/sec: 1192.2 +/- 1.6 (jitter = 17.5)	7.198
240	images/sec: 1193.1 +/- 1.6 (jitter = 17.8)	7.202
250	images/sec: 1193.9 +/- 1.6 (jitter = 17.9)	7.207
260	images/sec: 1194.3 +/- 1.5 (jitter = 18.0)	7.200
270	images/sec: 1195.0 +/- 1.5 (jitter = 17.5)	7.217
280	images/sec: 1195.1 +/- 1.5 (jitter = 17.8)	7.218
290	images/sec: 1196.0 +/- 1.4 (jitter = 18.7)	7.224
300	images/sec: 1196.8 +/- 1.4 (jitter = 19.3)	7.212
310	images/sec: 1197.3 +/- 1.4 (jitter = 20.2)	7.215
320	images/sec: 1197.3 +/- 1.4 (jitter = 20.2)	7.212
330	images/sec: 1197.8 +/- 1.4 (jitter = 20.1)	7.217
340	images/sec: 1197.8 +/- 1.3 (jitter = 20.1)	7.201
350	images/sec: 1198.0 +/- 1.3 (jitter = 20.1)	7.217
360	images/sec: 1198.3 +/- 1.3 (jitter = 19.6)	7.194
370	images/sec: 1198.8 +/- 1.3 (jitter = 19.7)	7.208
380	images/sec: 1199.3 +/- 1.2 (jitter = 20.0)	7.194
390	images/sec: 1199.6 +/- 1.2 (jitter = 20.0)	7.199
400	images/sec: 1199.7 +/- 1.2 (jitter = 20.2)	7.212
410	images/sec: 1199.6 +/- 1.2 (jitter = 20.6)	7.198
420	images/sec: 1199.9 +/- 1.2 (jitter = 20.2)	7.202
430	images/sec: 1199.9 +/- 1.2 (jitter = 19.7)	7.207
440	images/sec: 1199.5 +/- 1.2 (jitter = 20.2)	7.204
450	images/sec: 1199.9 +/- 1.2 (jitter = 20.4)	7.203
460	images/sec: 1200.0 +/- 1.2 (jitter = 20.5)	7.193
470	images/sec: 1200.4 +/- 1.1 (jitter = 20.3)	7.209
480	images/sec: 1200.5 +/- 1.1 (jitter = 20.2)	7.187
490	images/sec: 1200.4 +/- 1.1 (jitter = 20.2)	7.226
500	images/sec: 1200.7 +/- 1.1 (jitter = 20.4)	7.206
510	images/sec: 1200.9 +/- 1.1 (jitter = 20.6)	7.223
520	images/sec: 1200.9 +/- 1.1 (jitter = 20.6)	7.221
530	images/sec: 1200.9 +/- 1.1 (jitter = 20.8)	7.199
540	images/sec: 1201.3 +/- 1.1 (jitter = 20.9)	7.227
550	images/sec: 1201.6 +/- 1.1 (jitter = 20.9)	7.195
560	images/sec: 1201.8 +/- 1.1 (jitter = 20.7)	7.191
570	images/sec: 1202.0 +/- 1.1 (jitter = 20.6)	7.205
580	images/sec: 1201.9 +/- 1.1 (jitter = 20.7)	7.212
590	images/sec: 1202.0 +/- 1.0 (jitter = 20.3)	7.213
600	images/sec: 1202.1 +/- 1.0 (jitter = 20.3)	7.222
