time	PKG-0	Dram-0	PKG-1	Dram-1	
0.0	13.27	1.82	15.73	2.11	
0.5	12.85	1.76	15.25	2.02	
1.0	12.91	1.71	15.31	2.04	
1.5	12.87	1.68	15.28	2.02	
2.0	12.97	1.73	15.35	1.97	
2.5	12.84	1.72	15.25	2.08	
3.0	12.89	1.68	15.27	2.01	
3.5	12.79	1.73	15.20	2.06	
4.0	12.90	1.76	15.30	2.00	
4.5	13.16	1.77	15.54	2.02	
5.0	12.93	1.71	15.34	1.90	
5.5	12.91	1.65	15.33	1.96	
6.0	12.84	1.68	15.35	1.97	
6.5	13.05	1.74	15.31	2.02	
7.0	13.00	1.64	15.39	2.03	
7.5	13.16	1.80	15.55	2.04	
8.0	13.88	2.01	16.37	2.30	
8.5	18.42	3.28	21.82	3.97	
9.0	17.46	2.81	20.76	3.50	
9.5	12.93	1.68	15.39	2.03	
10.0	13.94	1.93	16.40	2.31	
10.5	18.41	3.04	21.82	3.80	
11.0	18.97	3.42	22.36	4.06	
11.5	21.11	3.68	26.72	4.05	
12.0	26.04	3.28	41.69	4.58	
12.5	26.04	3.31	41.69	4.62	
13.0	41.75	4.93	59.92	5.86	
13.5	76.85	7.50	77.90	7.87	
14.0	79.59	6.56	74.59	7.14	
14.5	70.11	6.72	64.26	7.15	
15.0	64.32	7.15	64.26	7.41	
15.5	64.25	7.47	64.38	7.84	
16.0	64.47	6.35	64.48	7.22	
16.5	64.35	6.57	64.32	7.07	
17.0	64.42	6.66	64.40	7.10	
17.5	64.27	6.99	64.27	7.42	
18.0	64.39	7.45	64.37	8.07	
18.5	61.45	6.20	60.06	6.47	
19.0	67.06	6.82	68.07	7.13	
19.5	64.21	6.53	64.23	6.99	
20.0	64.43	6.87	64.42	7.19	
20.5	64.39	7.39	64.38	7.76	
21.0	64.40	6.48	64.44	6.97	
21.5	64.24	6.08	64.20	6.55	
22.0	64.42	6.41	64.40	6.85	
22.5	64.38	6.90	64.40	6.99	
23.0	64.44	7.69	64.33	7.55	
23.5	64.26	6.41	64.35	6.94	
24.0	64.39	6.00	64.40	6.38	
24.5	64.44	6.11	64.40	6.72	
25.0	64.28	6.61	64.39	6.99	
25.5	64.25	7.30	64.13	7.55	
26.0	64.49	5.92	64.55	6.59	
26.5	64.39	6.02	64.37	6.32	
27.0	64.37	6.33	64.40	6.79	
27.5	64.27	7.11	64.28	7.07	
28.0	64.37	6.17	64.32	7.11	
28.5	64.36	5.39	64.62	5.88	
29.0	64.10	6.03	64.23	6.38	
29.5	64.24	6.41	64.24	6.80	
30.0	64.44	6.71	64.44	7.14	
30.5	64.30	6.00	64.27	6.60	
31.0	64.33	5.87	64.48	6.08	
31.5	64.37	6.12	64.25	6.57	
32.0	64.31	6.70	64.34	7.33	
32.5	64.48	6.23	64.47	6.87	
33.0	64.43	6.51	64.29	6.90	
33.5	64.24	6.05	64.38	6.45	
34.0	64.40	6.75	64.40	6.94	
34.5	64.39	6.46	64.39	6.97	
35.0	64.28	6.37	64.26	6.85	
35.5	64.39	6.01	64.40	6.27	
36.0	64.34	6.52	64.39	6.79	
36.5	64.44	6.74	64.42	7.00	
37.0	64.38	6.70	64.37	7.05	
37.5	64.30	5.91	64.29	6.20	
38.0	64.36	6.32	64.40	6.68	
38.5	64.48	6.60	64.41	7.33	
39.0	64.34	6.31	64.26	6.85	
39.5	64.29	5.87	64.40	6.62	
40.0	64.38	6.06	64.41	6.57	
40.5	64.30	6.91	64.39	7.09	
41.0	64.49	6.24	64.27	6.81	
41.5	64.30	6.03	64.41	6.67	
42.0	64.39	5.83	64.42	6.45	
42.5	64.39	6.62	64.37	6.92	
43.0	64.41	6.27	64.40	7.07	
43.5	64.28	5.99	64.27	6.61	
44.0	64.38	5.91	64.37	6.20	
44.5	64.41	6.59	64.38	6.71	
45.0	64.38	6.63	64.40	6.99	
45.5	64.29	6.57	64.29	6.85	
46.0	64.36	5.86	64.40	6.20	
46.5	64.41	6.36	64.36	6.60	
47.0	64.43	6.60	64.42	7.31	
47.5	64.09	6.77	64.25	6.80	
48.0	64.54	5.90	64.41	6.32	
48.5	64.38	6.20	64.39	6.49	
49.0	64.31	6.91	64.38	7.10	
49.5	64.39	6.29	64.27	6.75	
50.0	64.39	6.06	64.41	6.32	
50.5	64.38	6.12	64.39	6.31	
51.0	64.42	6.82	64.40	6.76	
51.5	64.25	6.68	64.26	6.89	
52.0	64.40	6.17	64.41	6.62	
52.5	64.39	5.94	64.39	6.15	
53.0	64.38	6.60	64.44	6.80	
53.5	64.30	6.74	64.22	7.07	
54.0	64.38	6.15	64.39	6.78	
54.5	64.40	6.03	64.39	6.26	
55.0	64.25	6.38	64.38	6.69	
55.5	64.46	6.67	64.30	7.30	
56.0	64.32	6.35	64.38	6.58	
56.5	64.40	5.94	64.40	6.08	
57.0	64.37	6.36	64.40	6.48	
57.5	64.30	6.90	64.27	7.01	
58.0	64.29	6.69	64.38	6.93	
58.5	64.51	5.74	64.43	6.26	
59.0	64.38	6.05	64.37	6.33	
59.5	64.23	6.80	64.40	7.04	
60.0	64.48	6.55	64.28	6.99	
60.5	64.39	5.96	64.39	6.59	
61.0	64.37	5.70	64.40	6.40	
61.5	64.40	6.69	64.27	6.93	
62.0	64.27	6.56	64.38	7.09	
62.5	64.41	6.06	64.42	6.68	
63.0	64.38	5.77	64.37	6.28	
63.5	64.44	6.44	64.39	6.62	
64.0	64.25	6.89	64.27	7.11	
64.5	64.41	6.28	64.41	6.86	
65.0	64.37	5.58	64.39	6.08	
65.5	64.39	6.16	64.38	6.66	
66.0	64.17	6.83	64.22	7.13	
66.5	64.39	6.52	64.41	6.71	
67.0	64.51	5.50	64.43	6.11	
67.5	64.37	6.23	64.39	6.49	
68.0	64.32	6.83	64.28	7.03	
68.5	64.38	6.43	64.38	7.05	
69.0	64.39	5.71	64.41	6.22	
69.5	64.37	6.00	64.40	6.23	
70.0	64.28	6.63	64.25	6.83	
70.5	64.38	6.70	64.38	7.13	
71.0	64.42	6.10	64.43	6.45	
71.5	64.39	6.04	64.39	6.08	
72.0	64.26	6.46	64.37	6.71	
72.5	64.42	6.75	64.27	7.22	
73.0	64.41	5.86	64.39	6.50	
73.5	64.38	5.62	64.40	6.10	
74.0	64.25	6.10	64.38	6.58	
74.5	64.35	6.75	64.22	7.17	
75.0	64.49	6.32	64.46	6.83	
75.5	64.36	5.78	64.42	6.18	
76.0	64.29	6.27	64.37	6.51	
76.5	64.41	6.83	64.27	6.98	
77.0	64.24	6.48	64.45	6.75	
77.5	64.51	5.77	64.37	6.09	
78.0	64.28	6.05	64.41	6.25	
78.5	64.39	6.74	64.21	6.70	
79.0	64.36	6.11	64.45	7.45	
79.5	64.65	5.24	64.39	6.00	
80.0	64.07	5.72	64.38	6.18	
80.5	64.39	6.29	64.27	6.68	
81.0	64.29	6.99	64.40	7.17	
81.5	64.53	6.19	64.37	7.15	
82.0	64.25	5.52	64.42	6.02	
82.5	64.37	6.10	64.26	6.27	
83.0	64.40	6.79	64.41	6.91	
83.5	64.27	6.63	64.35	7.16	
84.0	64.41	5.52	64.43	6.00	
84.5	64.40	6.04	64.26	6.33	
85.0	64.37	6.69	64.37	6.72	
85.5	64.41	6.65	64.40	7.20	
86.0	64.27	5.72	64.29	6.37	
86.5	64.40	6.10	64.38	6.15	
87.0	64.38	6.65	64.40	6.70	
87.5	64.43	6.61	64.39	7.25	
88.0	64.24	6.00	64.40	6.75	
88.5	64.40	5.76	64.26	6.23	
89.0	64.40	6.28	64.39	6.49	
89.5	64.30	6.85	64.34	7.28	
90.0	64.40	6.22	64.33	6.81	
90.5	64.34	5.60	64.39	5.93	
91.0	64.42	6.19	64.37	6.59	
91.5	64.39	6.96	64.43	6.93	
92.0	64.16	6.44	64.37	7.23	
92.5	64.50	5.85	64.29	6.03	
93.0	64.41	5.85	64.41	6.13	
93.5	64.39	6.84	64.39	6.73	
94.0	64.27	6.59	64.36	7.15	
94.5	64.40	5.77	64.30	6.61	
95.0	64.38	5.76	64.37	6.19	
95.5	64.42	6.53	64.40	6.76	
96.0	64.28	6.71	64.33	6.96	
96.5	64.39	5.96	64.35	6.48	
97.0	64.36	5.83	64.40	6.19	
97.5	64.41	6.44	64.39	6.57	
98.0	64.30	6.82	64.38	7.09	
98.5	64.51	5.75	64.30	7.20	
99.0	64.25	5.43	64.38	5.84	
99.5	64.41	6.11	64.38	6.62	
100.0	64.25	6.70	64.39	6.85	
100.5	64.41	6.85	64.29	7.38	
101.0	64.39	5.63	64.38	5.74	
101.5	64.40	6.11	64.42	6.37	
102.0	64.27	6.61	64.41	6.65	
102.5	64.30	7.15	64.26	7.47	
103.0	64.49	5.59	64.38	5.92	
103.5	64.39	5.71	64.41	6.12	
104.0	64.38	6.30	64.37	6.50	
104.5	64.20	7.20	64.26	7.31	
105.0	64.49	5.76	64.40	6.45	
105.5	64.39	5.86	64.40	6.01	
106.0	64.38	6.20	64.39	6.51	
106.5	64.28	7.01	64.25	6.97	
107.0	64.49	5.88	64.46	6.91	
107.5	64.29	5.70	64.35	5.96	
108.0	64.42	5.95	64.41	6.26	
108.5	64.23	6.68	64.24	6.72	
109.0	64.32	6.81	64.42	7.52	
109.5	64.50	5.17	64.39	5.74	
110.0	64.40	5.97	64.39	6.28	
110.5	64.27	6.56	64.26	6.73	
111.0	64.41	6.59	64.42	7.18	
111.5	64.39	5.96	64.37	6.60	
112.0	64.38	5.67	64.39	6.34	
112.5	64.26	6.36	64.41	6.62	
113.0	64.47	6.85	64.26	7.27	
113.5	64.37	6.33	64.41	6.59	
114.0	64.38	5.72	64.39	5.99	
114.5	64.24	6.25	64.27	6.38	
115.0	64.41	6.88	64.36	7.13	
115.5	64.30	6.49	64.37	7.28	
116.0	64.50	5.73	64.46	6.38	
116.5	64.27	5.99	64.39	6.28	
117.0	64.40	6.79	64.25	6.73	
117.5	64.39	6.69	64.43	7.30	
118.0	64.40	5.82	64.38	6.38	
118.5	64.28	6.03	64.25	6.29	
119.0	64.36	6.60	64.39	6.79	
119.5	64.43	6.80	64.41	7.16	
120.0	64.40	6.16	64.40	6.36	
120.5	64.25	5.87	64.26	6.28	
121.0	64.40	6.53	64.38	6.54	
121.5	64.44	6.90	64.43	7.18	
122.0	64.37	6.05	64.37	6.58	
122.5	64.26	5.80	64.39	6.19	
123.0	64.39	6.31	64.27	6.59	
123.5	64.31	7.02	64.40	7.11	
124.0	64.52	6.53	64.43	6.88	
124.5	64.22	5.38	64.37	5.98	
125.0	64.40	6.30	64.27	6.40	
125.5	64.38	6.86	64.37	6.82	
126.0	64.27	6.61	64.42	7.24	
126.5	64.53	5.73	64.39	6.15	
127.0	64.28	5.97	64.27	6.33	
127.5	64.37	6.68	64.39	6.84	
128.0	64.42	6.82	64.39	7.14	
128.5	64.40	5.76	64.41	6.16	
129.0	64.26	6.05	64.27	6.19	
129.5	64.41	6.52	64.39	6.73	
130.0	64.42	6.81	64.41	7.07	
130.5	64.37	5.74	64.39	6.65	
131.0	64.27	5.95	64.27	6.18	
131.5	64.37	6.28	64.37	6.75	
132.0	64.43	6.89	64.41	7.25	
132.5	64.41	6.18	64.41	6.59	
133.0	64.25	5.81	64.26	6.02	
133.5	64.39	6.26	64.43	6.51	
134.0	64.40	6.98	64.35	6.95	
134.5	64.39	6.43	64.39	7.33	
135.0	64.27	5.77	64.30	5.83	
135.5	64.40	6.14	64.38	6.27	
136.0	64.38	6.81	64.39	6.69	
136.5	64.40	6.69	64.41	7.26	
137.0	64.27	5.97	64.27	6.27	
137.5	64.41	6.12	64.39	6.27	
138.0	64.41	6.71	64.40	6.66	
138.5	64.40	6.68	64.40	7.24	
139.0	64.26	6.05	64.27	6.33	
139.5	64.39	6.00	64.40	6.13	
140.0	64.41	6.55	64.40	6.58	
140.5	64.41	6.85	64.40	7.21	
141.0	64.26	5.98	64.26	6.45	
141.5	64.39	5.89	64.41	6.16	
142.0	64.36	6.42	64.38	6.59	
142.5	64.17	7.02	64.28	7.24	
143.0	64.56	6.39	64.40	6.92	
143.5	64.35	5.75	64.39	6.10	
144.0	64.39	6.17	64.39	6.57	
144.5	64.42	6.84	64.39	6.94	
145.0	64.13	6.50	64.27	7.22	
145.5	64.51	5.74	64.40	6.06	
146.0	64.38	5.98	64.39	6.40	
146.5	64.40	6.76	64.40	6.66	
147.0	64.29	6.70	64.27	7.16	
147.5	64.38	5.68	64.40	6.21	
148.0	64.40	6.07	64.40	6.32	
148.5	64.38	6.56	64.40	6.83	
149.0	64.31	6.66	64.27	7.07	
149.5	64.37	5.72	64.39	6.63	
150.0	64.38	5.75	64.41	6.04	
150.5	64.41	6.33	64.37	6.56	
151.0	64.36	6.92	64.22	7.32	
151.5	64.33	6.10	64.44	6.80	
152.0	64.38	5.76	64.42	5.92	
152.5	64.39	6.23	64.36	6.66	
153.0	64.25	6.92	64.38	7.09	
153.5	64.42	6.34	64.28	7.21	
154.0	64.39	5.76	64.40	5.79	
