         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455749914.69     0     44.06     31.80     10.69    10-654502.44     26.60     10.69
 1455749914.79     0     43.85     31.56     10.84    10     43.01     30.82     10.68
 1455749914.89     0     44.22     31.92     10.56    10     43.42     31.09     10.79
 1455749914.99     0     43.78     31.61     10.63    10     43.32     30.98     10.88
 1455749915.09     0     43.86     31.56     10.55    10     43.31     30.97     10.78
 1455749915.19     0     44.23     31.93     10.74    10     43.45     31.11     10.80
 1455749915.29     0     44.21     31.92     10.44    10     43.30     30.96     10.77
 1455749915.39     0     44.27     31.97     10.64    10     43.10     30.88     10.58
 1455749915.49     0     44.24     31.94     10.63    10     42.95     30.61     10.72
 1455749915.59     0     43.41     31.23     10.53    10     43.67     31.33     10.81
 1455749915.69     0     43.88     31.57     10.73    10     43.55     31.21     10.55
 1455749915.79     0     21.03      8.79     10.28    10     43.81     31.47     10.37
 1455749915.89     0     34.98     21.90     15.50    10     38.69     25.47     16.07
 1455749915.99     0     43.41     29.92     20.68    10     43.46     29.91     20.67
 1455749916.09     0     38.55     25.28     17.94    10     37.97     24.78     17.53
 1455749916.19     0     39.27     26.16     17.72    10     39.68     26.42     17.71
 1455749916.29     0     37.94     24.81     17.05    10     34.35     21.33     16.43
 1455749916.39     0     35.76     22.74     17.21    10     40.92     27.73     17.65
 1455749916.49     0     41.53     28.11     19.37    10     41.35     27.96     19.21
 1455749916.59     0     38.70     25.38     18.01    10     39.13     25.77     18.12
 1455749916.69     0     42.23     29.17     18.12    10     42.85     29.76     17.21
 1455749916.79     0     41.96     28.70     17.86    10     40.29     26.85     18.21
 1455749916.89     0     42.87     29.56     19.56    10     42.76     29.34     20.12
 1455749916.99     0     38.35     24.98     18.30    10     39.12     25.67     18.50
 1455749917.09     0     40.23     27.07     18.38    10     40.27     27.03     18.61
 1455749917.19     0     33.55     20.64     14.27    10     39.68     26.79     13.91
 1455749917.30     0     42.90     29.73     18.64    10     40.61     27.37     18.95
 1455749917.40     0     39.09     25.68     18.56    10     38.98     25.44     18.88
 1455749917.50     0     43.35     30.00     19.42    10     42.79     29.40     19.81
 1455749917.60     0     43.28     30.00     18.80    10     39.62     25.95     20.17
 1455749917.70     0     38.59     25.31     18.37    10     38.95     25.46     18.85
 1455749917.80     0     43.13     29.86     19.49    10     43.27     29.90     19.94
 1455749917.90     0     36.08     22.84     16.99    10     38.79     25.52     16.98
 1455749918.00     0     41.59     28.48     17.85    10     43.11     30.06     16.78
 1455749918.10     0     30.99     18.27     14.12    10     32.19     19.30     15.08
 1455749918.20     0     27.39     15.11     10.90    10     19.21      6.86     11.05
