         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455367511.96     0     43.67     28.85     30.38    10     43.91     29.04     30.66
 1455367512.06     0     43.73     28.91     30.49    10     43.98     29.10     30.68
 1455367512.16     0     43.32     28.65     30.69    10     43.93     29.06     30.36
 1455367512.26     0     43.51     29.15     27.35    10     43.69     29.53     25.62
 1455367512.36     0     43.35     28.93     27.64    10     43.65     29.18     27.58
 1455367512.46     0     43.61     28.79     30.56    10     43.87     29.01     30.54
 1455367512.56     0     43.65     28.82     30.49    10     43.90     29.03     30.45
 1455367512.66     0     43.78     28.95     30.58    10     43.87     29.00     30.55
 1455367512.76     0     43.64     28.81     30.68    10     43.91     29.04     30.55
 1455367512.86     0     43.69     28.87     30.59    10     43.85     28.99     30.55
 1455367512.96     0     43.70     28.87     30.50    10     43.84     28.98     30.54
 1455367513.06     0     43.72     28.89     30.61    10     43.84     28.98     30.46
 1455367513.16     0     43.68     28.85     30.69    10     43.51     28.65     30.53
 1455367513.26     0     43.68     28.85     30.69    10     43.90     29.03     30.68
 1455367513.36     0     43.61     28.78     30.70    10     43.91     29.04     30.57
 1455367513.46     0     43.66     28.83     30.40    10     44.00     29.14     30.37
 1455367513.56     0     43.73     28.91     30.70    10     43.86     28.99     30.66
 1455367513.66     0     43.76     28.94     30.60    10     43.78     28.91     30.64
 1455367513.76     0     43.68     28.85     30.70    10     43.65     28.79     30.26
 1455367513.86     0     43.66     28.83     30.50    10     43.44     28.73     30.25
 1455367513.96     0     43.74     28.90     30.61    10     43.91     29.03     30.67
 1455367514.06     0     43.60     28.77     30.70    10     43.88     29.01     30.35
 1455367514.16     0     43.59     28.77     30.49    10     43.95     29.07     30.87
 1455367514.26     0     43.64     28.81     30.59    10     43.88     29.00     30.56
 1455367514.36     0     43.60     28.78     30.59    10     43.88     29.01     30.46
 1455367514.46     0     43.56     29.28     26.78    10     43.50     29.44     24.65
 1455367514.56     0     43.72     29.20     28.20    10     43.45     28.89     28.36
 1455367514.66     0     43.64     28.83     30.48    10     43.94     29.07     30.54
 1455367514.76     0     43.62     28.80     30.60    10     43.90     29.03     30.55
 1455367514.86     0     43.62     28.81     30.52    10     43.77     28.90     30.55
 1455367514.96     0     43.66     28.83     30.59    10     43.60     28.74     30.55
 1455367515.06     0     43.58     28.76     30.69    10     43.85     28.99     30.45
 1455367515.17     0     43.53     28.71     30.68    10     43.84     28.97     30.57
 1455367515.27     0     43.56     28.74     30.60    10     43.84     28.97     30.48
 1455367515.37     0     43.61     28.78     30.61    10     43.92     29.06     30.63
 1455367515.47     0     43.59     28.76     30.41    10     43.89     29.01     30.47
 1455367515.57     0     43.56     28.73     30.50    10     43.87     29.00     30.38
 1455367515.67     0     43.67     28.84     30.61    10     43.84     28.97     30.66
 1455367515.77     0     43.62     28.80     30.59    10     43.82     28.96     30.66
 1455367515.87     0     43.62     28.80     30.69    10     43.87     29.00     30.57
 1455367515.97     0     43.67     28.84     30.51    10     43.92     29.05     30.66
 1455367516.07     0     43.22     28.54     30.39    10     43.91     29.04     30.66
 1455367516.17     0     43.54     28.72     30.69    10     43.85     28.98     30.46
 1455367516.27     0     43.58     28.76     30.58    10     43.87     28.99     30.58
 1455367516.37     0     43.67     28.84     30.70    10     43.88     29.00     30.39
 1455367516.47     0     43.72     28.90     30.60    10     43.52     28.65     30.43
 1455367516.57     0     43.64     28.83     30.67    10     43.89     29.02     30.45
 1455367516.67     0     43.62     28.79     30.64    10     43.89     29.02     30.54
 1455367516.77     0     43.71     28.87     30.75    10     43.89     29.02     30.66
 1455367516.87     0     43.67     28.84     30.64    10     43.88     29.01     30.54
 1455367516.97     0     43.59     28.78     30.92    10     43.90     29.05     30.51
 1455367517.07     0     43.71     28.87     30.47    10     43.98     29.10     30.72
 1455367517.17     0     43.69     28.85     30.66    10     43.94     29.07     30.52
 1455367517.27     0     44.15     29.17     30.77    10     44.01     29.15     30.59
 1455367517.37     0     43.02     29.19     24.45    10     43.76     29.99     22.57
 1455367517.47     0     43.77     28.94     30.71    10     44.08     29.20     30.73
 1455367517.57     0     43.73     28.90     30.59    10     44.04     29.17     30.52
 1455367517.67     0     43.75     28.91     30.71    10     44.05     29.17     30.73
 1455367517.77     0     43.83     28.98     30.82    10     44.02     29.15     30.75
 1455367517.87     0     43.79     28.95     30.82    10     43.98     29.11     30.73
 1455367517.97     0     43.86     29.03     30.81    10     43.64     28.77     30.71
 1455367518.07     0     43.78     28.94     30.63    10     44.03     29.16     30.63
 1455367518.17     0     43.87     29.02     30.83    10     44.05     29.18     30.72
 1455367518.27     0     43.78     28.94     30.81    10     43.32     28.45     30.61
 1455367518.37     0     43.85     29.01     30.73    10     43.76     28.89     30.73
 1455367518.47     0     43.87     29.02     30.74    10     43.69     28.81     30.72
 1455367518.57     0     43.90     29.05     30.83    10     44.03     29.15     30.75
 1455367518.67     0     43.86     29.02     30.81    10     44.02     29.14     30.75
 1455367518.78     0     43.81     28.97     30.82    10     43.67     28.79     30.64
 1455367518.88     0     43.85     29.00     30.83    10     44.08     29.20     30.56
 1455367518.98     0     43.77     28.93     30.82    10     44.04     29.16     30.56
 1455367519.08     0     43.81     28.97     30.73    10     44.03     29.16     30.75
 1455367519.18     0     44.29     29.29     31.06    10     43.88     29.01     30.63
 1455367519.28     0     43.90     29.05     30.36    10     43.92     29.04     30.73
